main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
200,100,10,11,11,0,0.09166666666666666,6.454545454545454,71.0,0,91.36363636363636,1005.0,queue,7,120.0,180.0,300.0,1,0,0,11,11,0,0
200,100,10,11,11,0,0.09166666666666666,0.7272727272727273,8.0,0,86.18181818181819,948.0,queue,42,120.0,180.0,300.0,1,0,0,11,11,0,0
200,100,10,11,11,0,0.09166666666666666,2.909090909090909,32.0,0,89.63636363636364,986.0,queue,99,120.0,180.0,300.0,1,0,0,11,11,0,0
200,200,14,14,14,0,0.11666666666666667,11.142857142857142,156.0,0,101.78571428571429,1425.0,queue,7,120.0,180.0,300.0,3,0,0,14,14,0,0
200,200,14,14,14,0,0.11666666666666667,1.2142857142857142,17.0,0,90.35714285714286,1265.0,queue,42,120.0,180.0,300.0,1,0,0,14,14,0,0
200,200,14,14,14,0,0.11666666666666667,8.642857142857142,121.0,0,100.21428571428571,1403.0,queue,99,120.0,180.0,300.0,3,0,0,14,14,0,0
200,300,17,17,17,0,0.14166666666666666,17.58823529411765,299.0,0,112.29411764705883,1909.0,queue,7,120.0,180.0,300.0,4,0,0,17,17,0,0
200,300,17,17,17,0,0.14166666666666666,5.117647058823529,87.0,0,97.76470588235294,1662.0,queue,42,120.0,180.0,300.0,1,0,0,17,17,0,0
200,300,17,17,17,0,0.14166666666666666,7.294117647058823,124.0,0,102.88235294117646,1749.0,queue,99,120.0,180.0,300.0,2,0,0,17,17,0,0
400,100,16,18,18,0,0.15,5.055555555555555,91.0,0,89.05555555555556,1603.0,queue,7,120.0,180.0,300.0,2,0,0,18,18,0,0
400,100,16,18,18,0,0.15,1.5,27.0,0,86.61111111111111,1559.0,free_flow,42,120.0,180.0,300.0,0,0,0,18,18,0,0
400,100,16,18,18,0,0.15,2.6666666666666665,48.0,0,88.22222222222223,1588.0,queue,99,120.0,180.0,300.0,1,0,0,18,18,0,0
400,200,20,21,21,0,0.175,12.571428571428571,264.0,0,99.14285714285714,2082.0,queue,7,120.0,180.0,300.0,3,0,0,21,21,0,0
400,200,20,21,21,0,0.175,4.523809523809524,95.0,0,90.71428571428571,1905.0,queue,42,120.0,180.0,300.0,2,0,0,21,21,0,0
400,200,20,21,21,0,0.175,12.523809523809524,263.0,0,101.71428571428571,2136.0,queue,99,120.0,180.0,300.0,3,0,0,21,21,0,0
400,300,23,24,24,0,0.2,18.416666666666668,442.0,0,107.25,2574.0,queue,7,120.0,180.0,300.0,5,0,0,24,24,0,0
400,300,23,24,24,0,0.2,10.291666666666666,247.0,0,102.75,2466.0,queue,42,120.0,180.0,300.0,4,0,0,24,24,0,0
400,300,23,24,24,0,0.2,18.416666666666668,442.0,0,110.66666666666667,2656.0,queue,99,120.0,180.0,300.0,5,0,0,24,24,0,0
600,100,23,24,24,0,0.2,4.916666666666667,118.0,0,87.45833333333333,2099.0,queue,7,120.0,180.0,300.0,1,0,0,24,24,0,0
600,100,23,24,24,0,0.2,3.9166666666666665,94.0,0,88.58333333333333,2126.0,queue,42,120.0,180.0,300.0,1,0,0,24,24,0,0
600,100,23,24,24,0,0.2,5.25,126.0,0,91.95833333333333,2207.0,queue,99,120.0,180.0,300.0,1,0,0,24,24,0,0
600,200,27,27,27,0,0.225,10.814814814814815,292.0,0,97.25925925925925,2626.0,queue,7,120.0,180.0,300.0,4,0,0,27,27,0,0
600,200,27,27,27,0,0.225,9.88888888888889,267.0,0,96.62962962962963,2609.0,queue,42,120.0,180.0,300.0,3,0,0,27,27,0,0
600,200,27,27,27,0,0.225,10.37037037037037,280.0,0,99.62962962962963,2690.0,queue,99,120.0,180.0,300.0,3,0,0,27,27,0,0
600,300,30,30,30,0,0.25,13.2,396.0,0,102.6,3078.0,queue,7,120.0,180.0,300.0,6,0,0,30,30,0,0
600,300,30,30,30,0,0.25,15.1,453.0,0,105.06666666666666,3152.0,queue,42,120.0,180.0,300.0,7,0,0,30,30,0,0
600,300,30,30,30,0,0.25,12.433333333333334,373.0,0,102.93333333333334,3088.0,queue,99,120.0,180.0,300.0,6,0,0,30,30,0,0
