main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions,capacity_state
1800,2000,1900,1900,1900,0,1.0555555555555556,0.0005263157894736842,1.0,0,96.57263157894737,183488.0,queue,7,1800.0,600.0,2400.0,145,0,0,1900,1900,0,0,recovered
1800,2000,1900,1900,1900,0,1.0555555555555556,0.002105263157894737,4.0,0,97.07684210526315,184446.0,queue,42,1800.0,600.0,2400.0,160,0,0,1900,1900,0,0,recovered
1800,2000,1900,1900,1900,0,1.0555555555555556,0.0015789473684210526,3.0,0,96.4257894736842,183209.0,queue,99,1800.0,600.0,2400.0,149,0,0,1900,1900,0,0,recovered
1800,2000,1900,1900,1900,0,1.0555555555555556,0.0,0.0,0,96.54473684210527,183435.0,queue,123,1800.0,600.0,2400.0,160,0,0,1900,1900,0,0,recovered
1800,2000,1900,1900,1900,0,1.0555555555555556,0.0015789473684210526,3.0,0,95.6478947368421,181731.0,queue,2026,1800.0,600.0,2400.0,164,0,0,1900,1900,0,0,recovered
1800,2050,1925,1926,1926,0,1.07,0.001557632398753894,3.0,0,97.32554517133957,187449.0,queue,7,1800.0,600.0,2400.0,168,0,0,1926,1926,0,0,recovered
1800,2050,1925,1926,1926,0,1.07,0.001557632398753894,3.0,0,97.6282450674974,188032.0,queue,42,1800.0,600.0,2400.0,187,0,0,1926,1926,0,0,recovered
1800,2050,1925,1926,1926,0,1.07,0.0020768431983385254,4.0,0,96.48234683281412,185825.0,queue,99,1800.0,600.0,2400.0,179,0,0,1926,1926,0,0,recovered
1800,2050,1925,1926,1926,0,1.07,0.0005192107995846313,1.0,0,96.45586708203531,185774.0,queue,123,1800.0,600.0,2400.0,188,0,0,1926,1926,0,0,recovered
1800,2050,1925,1926,1926,0,1.07,0.004672897196261682,9.0,0,95.8785046728972,184662.0,queue,2026,1800.0,600.0,2400.0,187,0,0,1926,1926,0,0,recovered
1800,2100,1950,1951,1951,0,1.083888888888889,0.0030753459764223477,6.0,0,95.69502819067145,186701.0,queue,7,1800.0,600.0,2400.0,219,0,0,1951,1951,0,0,recovered
1800,2100,1950,1951,1951,0,1.083888888888889,0.0010251153254741158,2.0,0,97.14146591491543,189523.0,queue,42,1800.0,600.0,2400.0,211,0,0,1951,1951,0,0,recovered
1800,2100,1950,1951,1951,0,1.083888888888889,0.0,0.0,0,95.66222450025627,186637.0,queue,99,1800.0,600.0,2400.0,215,0,0,1951,1951,0,0,recovered
1800,2100,1950,1951,1951,0,1.083888888888889,0.0005125576627370579,1.0,0,96.51563300871348,188302.0,queue,123,1800.0,600.0,2400.0,202,0,0,1951,1951,0,0,recovered
1800,2100,1950,1951,1951,0,1.083888888888889,0.0010251153254741158,2.0,0,95.88262429523321,187067.0,queue,2026,1800.0,600.0,2400.0,211,0,0,1951,1951,0,0,recovered
1800,2150,1975,1976,1961,15,1.0894444444444444,0.0015298317185109638,3.0,15,95.90922998470168,188078.0,breakdown,7,1800.0,600.0,2400.0,241,15,0,1976,1976,0,0,breakdown
1800,2150,1975,1976,1971,5,1.095,0.0020294266869609334,4.0,5,97.13647894469813,191456.0,breakdown,42,1800.0,600.0,2400.0,233,5,0,1976,1976,0,0,breakdown
1800,2150,1975,1976,1964,12,1.0911111111111111,0.003054989816700611,6.0,12,95.9877800407332,188520.0,breakdown,99,1800.0,600.0,2400.0,234,12,0,1976,1976,0,0,breakdown
1800,2150,1975,1976,1957,19,1.0872222222222223,0.005109862033725089,10.0,19,95.03985692386306,185993.0,breakdown,123,1800.0,600.0,2400.0,247,19,0,1976,1976,0,0,breakdown
1800,2150,1975,1976,1976,0,1.0977777777777777,0.0020242914979757085,4.0,0,95.75961538461539,189221.0,queue,2026,1800.0,600.0,2400.0,230,0,0,1976,1976,0,0,recovered
