main_veh_h,ramp_veh_h,runs,recovered_runs,breakdown_runs,classification,mean_peak_queue_vehicles,max_peak_queue_vehicles,mean_avg_wait_time_s,mean_unfinished_vehicles,mean_throughput_veh_s
1800,0,5,5,0,recovered,0.0,0,0.0,0.0,0.5
1800,400,5,5,0,recovered,0.0,0,0.0,0.0,0.6111111111111112
1800,800,5,5,0,recovered,0.0,0,0.0,0.0,0.7222222222222222
1800,1200,5,5,0,recovered,0.0,0,0.0,0.0,0.8333333333333334
1800,1600,5,5,0,recovered,0.0,0,0.0,0.0,0.9444444444444444
1800,2000,5,5,0,recovered,155.6,164,0.0011578947368421052,0.0,1.0555555555555556
1800,2400,5,0,5,breakdown,372.6,387,0.0023523321044636035,143.6,1.0868888888888888
1800,2800,5,0,5,breakdown,571.0,578,0.002145802368467505,342.8,1.0873333333333335
1800,3200,5,0,5,breakdown,771.4,778,0.0023536258645540566,545.6,1.0857777777777777
1800,3600,5,0,5,breakdown,966.6,973,0.0012253350057253372,737.8,1.090111111111111
