total_demand_veh_h,demand_ratio,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions,capacity_state
3950,1:1,1975,1975,1976,1976,1976,0,1.0977777777777777,0.0,0.0,0,93.53491902834008,184825.0,free_flow,7,1800.0,600.0,2400.0,0,0,0,1976,1976,0,0,recovered
3950,1:1,1975,1975,1976,1976,1976,0,1.0977777777777777,0.0,0.0,0,95.43724696356276,188584.0,free_flow,42,1800.0,600.0,2400.0,0,0,0,1976,1976,0,0,recovered
3950,1:1,1975,1975,1976,1976,1976,0,1.0977777777777777,0.0,0.0,0,94.22925101214575,186197.0,free_flow,99,1800.0,600.0,2400.0,0,0,0,1976,1976,0,0,recovered
3950,1:1,1975,1975,1976,1976,1976,0,1.0977777777777777,0.0,0.0,0,94.17763157894737,186095.0,free_flow,123,1800.0,600.0,2400.0,0,0,0,1976,1976,0,0,recovered
3950,1:1,1975,1975,1976,1976,1976,0,1.0977777777777777,0.0,0.0,0,93.71912955465586,185189.0,free_flow,2026,1800.0,600.0,2400.0,0,0,0,1976,1976,0,0,recovered
3950,1:2,1317,2633,1974,1976,1712,264,0.9511111111111111,0.0005841121495327102,1.0,264,91.45619158878505,156573.0,breakdown,7,1800.0,600.0,2400.0,503,46,218,1758,1976,0,0,breakdown
3950,1:2,1317,2633,1974,1976,1735,241,0.9638888888888889,0.00345821325648415,6.0,241,92.0270893371758,159667.0,breakdown,42,1800.0,600.0,2400.0,485,40,201,1775,1976,0,0,breakdown
3950,1:2,1317,2633,1974,1976,1732,244,0.9622222222222222,0.0017321016166281756,3.0,244,91.42032332563511,158340.0,breakdown,99,1800.0,600.0,2400.0,477,45,199,1777,1976,0,0,breakdown
3950,1:2,1317,2633,1974,1976,1710,266,0.95,0.0017543859649122807,3.0,266,91.71345029239767,156830.0,breakdown,123,1800.0,600.0,2400.0,495,44,222,1754,1976,0,0,breakdown
3950,1:2,1317,2633,1974,1976,1703,273,0.9461111111111111,0.004110393423370522,7.0,273,91.34116265413975,155554.0,breakdown,2026,1800.0,600.0,2400.0,498,45,228,1748,1976,0,0,breakdown
3950,1:3,988,2962,1975,1976,1552,424,0.8622222222222222,0.0019329896907216496,3.0,424,91.67139175257732,142274.0,breakdown,7,1800.0,600.0,2400.0,658,44,380,1596,1976,0,0,breakdown
3950,1:3,988,2962,1975,1976,1561,415,0.8672222222222222,0.003843689942344651,6.0,415,93.00320307495195,145178.0,breakdown,42,1800.0,600.0,2400.0,654,44,371,1605,1976,0,0,breakdown
3950,1:3,988,2962,1975,1976,1542,434,0.8566666666666667,0.0019455252918287938,3.0,434,91.03501945525292,140376.0,breakdown,99,1800.0,600.0,2400.0,659,45,389,1587,1976,0,0,breakdown
3950,1:3,988,2962,1975,1976,1566,410,0.87,0.004469987228607918,7.0,410,92.55555555555556,144942.0,breakdown,123,1800.0,600.0,2400.0,639,44,366,1610,1976,0,0,breakdown
