total_demand_veh_h,demand_ratio,main_veh_h,ramp_veh_h,runs,recovered_runs,breakdown_runs,classification,mean_peak_queue_vehicles,max_peak_queue_vehicles,mean_avg_wait_time_s,mean_unfinished_vehicles,mean_throughput_veh_h,collision_runs,teleport_runs
3950,1:1,1975,1975,5,5,0,recovered,0.0,0,0.0,0.0,3952.0,0,0
3950,1:2,1317,2633,5,0,5,breakdown,491.6,503,0.0023278412821855676,257.6,3436.8,0,0
3950,1:3,988,2962,5,0,5,breakdown,654.0,660,0.002954234691177714,421.6,3108.8,0,0
3950,1:4,790,3160,5,0,5,breakdown,744.6,752,0.003004372058305387,510.2,2931.6,0,0
3950,1:5,658,3292,5,0,5,breakdown,816.2,827,0.004455079817422049,582.4,2787.2,0,0
4000,1:1,2000,2000,5,5,0,recovered,0.0,0,0.0,0.0,4000.0,0,0
4000,1:2,1333,2667,5,0,5,breakdown,502.6,514,0.002318333785116387,275.6,3450.8,0,0
4000,1:3,1000,3000,5,0,5,breakdown,670.8,680,0.002183400654713375,440.0,3120.0,0,0
4000,1:4,800,3200,5,0,5,breakdown,772.2,781,0.0023300040409117975,540.4,2919.2,0,0
4000,1:5,667,3333,5,0,5,breakdown,834.6,840,0.0017169610386329353,603.4,2795.2,0,0
