strategy,total_demand_veh_h,demand_ratio,seed,main_veh_h,ramp_veh_h,network_time_spent_s,insertion_wait_time_s,total_time_spent_s,main_total_time_spent_s,ramp_total_time_spent_s,main_insertion_wait_time_s,ramp_insertion_wait_time_s,unfinished_vehicles,throughput,peak_queue_vehicles,collisions,teleports,interventions
uncontrolled,3950,1:2,7,1317,2633,158900.0,662829.0,821729.0,53341.0,768388.0,0.0,662829.0,264,0.9511111111111111,503,0,0,0
uncontrolled,3950,1:2,42,1317,2633,161558.0,633628.0,795186.0,53982.0,741204.0,0.0,633628.0,241,0.9638888888888889,485,0,0,0
uncontrolled,3950,1:2,99,1317,2633,160522.0,622751.0,783273.0,53466.0,729807.0,0.0,622751.0,244,0.9622222222222222,477,0,0,0
uncontrolled,3950,1:2,123,1317,2633,158911.0,655076.0,813987.0,53388.0,760599.0,0.0,655076.0,266,0.95,495,0,0,0
uncontrolled,3950,1:2,2026,1317,2633,157781.0,661703.0,819484.0,53392.0,766092.0,0.0,661703.0,273,0.9461111111111111,498,0,0,0
cooperative_limited,3950,1:2,7,1317,2633,157908.0,663942.0,821850.0,53315.0,768535.0,0.0,663942.0,269,0.9483333333333334,496,0,0,141
cooperative_limited,3950,1:2,42,1317,2633,160808.0,634959.0,795767.0,54160.0,741607.0,0.0,634959.0,254,0.9566666666666667,488,0,0,140
cooperative_limited,3950,1:2,99,1317,2633,159823.0,629572.0,789395.0,53508.0,735887.0,0.0,629572.0,249,0.9594444444444444,476,0,0,140
cooperative_limited,3950,1:2,123,1317,2633,160362.0,642685.0,803047.0,53292.0,749755.0,0.0,642685.0,249,0.9594444444444444,486,0,0,137
cooperative_limited,3950,1:2,2026,1317,2633,160543.0,642835.0,803378.0,53410.0,749968.0,0.0,642835.0,241,0.9638888888888889,485,0,0,138
