strategy,total_demand_veh_h,demand_ratio,seed,main_veh_h,ramp_veh_h,meter_release_interval_s,meter_releases,network_time_spent_s,insertion_wait_time_s,total_time_spent_s,main_total_time_spent_s,ramp_total_time_spent_s,main_insertion_wait_time_s,ramp_insertion_wait_time_s,unfinished_vehicles,throughput,peak_queue_vehicles,collisions,teleports,interventions,alinea_rate_updates,alinea_mean_rate_veh_h
uncontrolled,3950,1:2,7,1317,2633,0,0,179723.75,306633.75,486357.5,52193.5,434164.0,0.0,306633.75,0,1.0977777777777777,281,0,0,0,0,0
uncontrolled,3950,1:2,42,1317,2633,0,0,180772.25,299940.25,480712.5,52616.25,428096.25,0.0,299940.25,0,1.0977777777777777,277,0,0,0,0,0
uncontrolled,3950,1:2,99,1317,2633,0,0,178947.75,306850.25,485798.0,52258.25,433539.75,0.0,306850.25,0,1.0977777777777777,278,0,0,0,0,0
uncontrolled,3950,1:2,123,1317,2633,0,0,180306.75,318495.25,498802.0,52264.0,446538.0,0.0,318495.25,0,1.0977777777777777,285,0,0,0,0,0
uncontrolled,3950,1:2,2026,1317,2633,0,0,178703.75,311850.5,490554.25,52027.25,438527.0,0.0,311850.5,0,1.0977777777777777,285,0,0,0,0,0
cooperative_limited,3950,1:2,7,1317,2633,0,0,179510.25,307047.25,486557.5,52196.75,434360.75,0.0,307047.25,0,1.0977777777777777,282,0,0,137,0,0
cooperative_limited,3950,1:2,42,1317,2633,0,0,180795.25,307135.25,487930.5,52655.0,435275.5,0.0,307135.25,0,1.0977777777777777,280,0,0,137,0,0
cooperative_limited,3950,1:2,99,1317,2633,0,0,179244.25,301196.75,480441.0,52313.75,428127.25,0.0,301196.75,0,1.0977777777777777,276,0,0,136,0,0
cooperative_limited,3950,1:2,123,1317,2633,0,0,180139.75,322520.0,502659.75,52194.0,450465.75,0.0,322520.0,2,1.0966666666666667,287,0,0,135,0,0
cooperative_limited,3950,1:2,2026,1317,2633,0,0,178948.5,303393.75,482342.25,52135.25,430207.0,0.0,303393.75,0,1.0977777777777777,279,0,0,133,0,0
ramp_fixed_1_5s,3950,1:2,7,1317,2633,1.5,1317,179258.0,303939.5,483197.5,51982.75,431214.75,0.0,303939.5,0,1.0977777777777777,278,0,0,0,0,0
ramp_fixed_1_5s,3950,1:2,42,1317,2633,1.5,1317,180689.75,306821.5,487511.25,52654.0,434857.25,0.0,306821.5,0,1.0977777777777777,279,0,0,0,0,0
ramp_fixed_1_5s,3950,1:2,99,1317,2633,1.5,1317,179002.25,317021.25,496023.5,52195.25,443828.25,0.0,317021.25,0,1.0977777777777777,284,0,0,0,0,0
ramp_fixed_1_5s,3950,1:2,123,1317,2633,1.5,1317,180239.0,319972.25,500211.25,52218.25,447993.0,0.0,319972.25,4,1.0955555555555556,286,0,0,0,0,0
ramp_fixed_1_5s,3950,1:2,2026,1317,2633,1.5,1317,178875.25,310430.25,489305.5,52113.75,437191.75,0.0,310430.25,0,1.0977777777777777,283,0,0,0,0,0
ramp_alinea,3950,1:2,7,1317,2633,0,1217,200284.25,463529.0,663813.25,51831.0,611982.25,0.0,463529.0,134,1.0233333333333334,388,0,0,0,120,1905.0
ramp_alinea,3950,1:2,42,1317,2633,0,1240,199113.75,458478.0,657591.75,52412.75,605179.0,0.0,458478.0,117,1.0327777777777778,388,0,0,0,120,1953.0
ramp_alinea,3950,1:2,99,1317,2633,0,1209,199887.25,471372.5,671259.75,52091.5,619168.25,0.0,471372.5,143,1.0183333333333333,390,0,0,0,120,1887.0
ramp_alinea,3950,1:2,123,1317,2633,0,1221,200032.25,470040.0,670072.25,51928.0,618144.25,0.0,470040.0,136,1.0222222222222221,391,0,0,0,120,1928.0
ramp_alinea,3950,1:2,2026,1317,2633,0,1206,199223.25,472752.25,671975.5,51701.25,620274.25,0.0,472752.25,145,1.0172222222222222,391,0,0,0,120,1880.0
