strategy,metric,paired_seeds,mean_paired_delta,ci_95_low,ci_95_high,lower_is_better,interpretation
cooperative_limited,total_time_spent_s,5,-4044.4,-15407.908871987285,7319.108871987286,True,uncertain
cooperative_limited,network_time_spent_s,5,354.4,-1717.5091410185341,2426.3091410185343,True,uncertain
cooperative_limited,insertion_wait_time_s,5,-4398.8,-17745.666381677962,8948.066381677963,True,uncertain
cooperative_limited,unfinished_vehicles,5,-5.2,-28.399123514477864,17.999123514477866,True,uncertain
cooperative_limited,throughput_veh_h,5,10.400000000000027,-35.99824702895575,56.79824702895581,False,uncertain
ramp_fixed_1_25s,total_time_spent_s,5,-2483.4,-30357.08510110485,25390.285101104848,True,uncertain
ramp_fixed_1_25s,network_time_spent_s,5,2158.6,591.282446096593,3725.9175539034068,True,worsens
ramp_fixed_1_25s,insertion_wait_time_s,5,-4642.0,-33785.88680140355,24501.886801403547,True,uncertain
ramp_fixed_1_25s,unfinished_vehicles,5,-0.6,-19.62319702258272,18.423197022582716,True,uncertain
ramp_fixed_1_25s,throughput_veh_h,5,1.1999999999999473,-36.846394045165354,39.246394045165246,False,uncertain
ramp_fixed_1_5s,total_time_spent_s,5,-2483.4,-30357.08510110485,25390.285101104848,True,uncertain
ramp_fixed_1_5s,network_time_spent_s,5,2158.6,591.282446096593,3725.9175539034068,True,worsens
ramp_fixed_1_5s,insertion_wait_time_s,5,-4642.0,-33785.88680140355,24501.886801403547,True,uncertain
ramp_fixed_1_5s,unfinished_vehicles,5,-0.6,-19.62319702258272,18.423197022582716,True,uncertain
ramp_fixed_1_5s,throughput_veh_h,5,1.1999999999999473,-36.846394045165354,39.246394045165246,False,uncertain
ramp_fixed_1s,total_time_spent_s,5,0.0,0.0,0.0,True,uncertain
ramp_fixed_1s,network_time_spent_s,5,0.0,0.0,0.0,True,uncertain
ramp_fixed_1s,insertion_wait_time_s,5,0.0,0.0,0.0,True,uncertain
ramp_fixed_1s,unfinished_vehicles,5,0.0,0.0,0.0,True,uncertain
ramp_fixed_1s,throughput_veh_h,5,0.0,0.0,0.0,False,uncertain
