demand_ratio,total_demand_veh_h,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
1:1,800,400,400,400,400,400,0,0.2222222222222222,151.3025,60521.0,0,264.93,105972.0,queue,1,1800.0,600.0,2400.0,133,0,0,400,400,0,0
1:1,800,400,400,400,400,400,0,0.2222222222222222,146.62,58648.0,0,260.82,104328.0,queue,2,1800.0,600.0,2400.0,122,0,0,400,400,0,0
1:1,800,400,400,400,400,400,0,0.2222222222222222,143.3425,57337.0,0,256.8625,102745.0,queue,3,1800.0,600.0,2400.0,131,0,0,400,400,0,0
1:1,800,400,400,400,400,400,0,0.2222222222222222,149.3675,59747.0,0,263.65,105460.0,queue,4,1800.0,600.0,2400.0,131,0,0,400,400,0,0
1:1,800,400,400,400,400,400,0,0.2222222222222222,147.135,58854.0,0,262.5475,105019.0,queue,5,1800.0,600.0,2400.0,127,0,0,400,400,0,0
1:2,800,267,533,400,401,401,0,0.22277777777777777,128.6284289276808,51580.0,0,261.34912718204487,104801.0,queue,1,1800.0,600.0,2400.0,136,0,0,401,401,0,0
1:2,800,267,533,400,401,401,0,0.22277777777777777,137.03491271820448,54951.0,0,273.3441396508728,109611.0,queue,2,1800.0,600.0,2400.0,150,0,0,401,401,0,0
1:2,800,267,533,400,401,401,0,0.22277777777777777,137.90274314214463,55299.0,0,270.2942643391521,108388.0,queue,3,1800.0,600.0,2400.0,149,0,0,401,401,0,0
1:2,800,267,533,400,401,401,0,0.22277777777777777,133.88279301745635,53687.0,0,268.00997506234415,107472.0,queue,4,1800.0,600.0,2400.0,148,0,0,401,401,0,0
1:2,800,267,533,400,401,401,0,0.22277777777777777,129.5211970074813,51938.0,0,265.3167082294264,106392.0,queue,5,1800.0,600.0,2400.0,138,0,0,401,401,0,0
1:3,800,200,600,400,400,400,0,0.2222222222222222,72.7475,29099.0,0,206.58,82632.0,queue,1,1800.0,600.0,2400.0,67,0,0,400,400,0,0
1:3,800,200,600,400,400,400,0,0.2222222222222222,74.77,29908.0,0,213.3225,85329.0,queue,2,1800.0,600.0,2400.0,72,0,0,400,400,0,0
1:3,800,200,600,400,400,400,0,0.2222222222222222,79.305,31722.0,0,221.16,88464.0,queue,3,1800.0,600.0,2400.0,75,0,0,400,400,0,0
1:3,800,200,600,400,400,400,0,0.2222222222222222,82.5575,33023.0,0,229.2325,91693.0,queue,4,1800.0,600.0,2400.0,73,0,0,400,400,0,0
1:3,800,200,600,400,400,400,0,0.2222222222222222,89.1775,35671.0,0,226.1725,90469.0,queue,5,1800.0,600.0,2400.0,89,0,0,400,400,0,0
1:4,800,160,640,400,400,400,0,0.2222222222222222,0.11,44.0,0,63.22,25288.0,queue,1,1800.0,600.0,2400.0,1,0,0,400,400,0,0
1:4,800,160,640,400,400,400,0,0.2222222222222222,0.0625,25.0,0,63.45,25380.0,queue,2,1800.0,600.0,2400.0,1,0,0,400,400,0,0
1:4,800,160,640,400,400,400,0,0.2222222222222222,0.135,54.0,0,63.69,25476.0,queue,3,1800.0,600.0,2400.0,2,0,0,400,400,0,0
1:4,800,160,640,400,400,400,0,0.2222222222222222,0.08,32.0,0,62.945,25178.0,queue,4,1800.0,600.0,2400.0,1,0,0,400,400,0,0
1:4,800,160,640,400,400,400,0,0.2222222222222222,0.17,68.0,0,63.3425,25337.0,queue,5,1800.0,600.0,2400.0,1,0,0,400,400,0,0
1:5,800,133,667,400,401,401,0,0.22277777777777777,0.14962593516209477,60.0,0,63.45635910224439,25446.0,queue,1,1800.0,600.0,2400.0,1,0,0,401,401,0,0
