demand_ratio,total_demand_veh_h,main_veh_h,side_veh_h,runs,free_flow_runs,queue_runs,breakdown_runs,classification,mean_peak_queue_vehicles,max_peak_queue_vehicles,mean_avg_wait_time_s,mean_total_travel_time_s,mean_unfinished_vehicles,mean_throughput_veh_s
1:1,800,400,400,5,0,5,0,queue,128.8,133,147.5535,104704.8,0.0,0.2222222222222222
1:2,800,267,533,5,0,5,0,queue,144.2,150,133.3940149625935,107332.8,0.0,0.22277777777777777
1:3,800,200,600,5,0,5,0,queue,75.2,89,79.7115,87717.4,0.0,0.2222222222222222
1:4,800,160,640,5,0,5,0,queue,1.2,2,0.1115,25331.8,0.0,0.2222222222222222
1:5,800,133,667,5,0,5,0,queue,1.2,2,0.17655860349127184,25491.6,0.0,0.22277777777777777
1:1,1000,500,500,5,0,3,2,queue,197.6,202,132.93161837594278,121679.8,2.0,0.27666666666666667
1:2,1000,333,667,5,0,0,5,breakdown,244.2,251,138.56602772994933,119127.2,53.2,0.24877777777777776
1:3,1000,250,750,5,0,0,5,breakdown,242.6,246,125.56969484615793,116362.0,55.0,0.24722222222222223
1:4,1000,200,800,5,0,5,0,queue,171.8,183,71.992,110436.0,0.0,0.2777777777777778
1:5,1000,167,833,5,0,5,0,queue,6.2,9,0.7021956087824351,33133.8,0.0,0.2783333333333333
1:1,1200,600,600,5,0,0,5,breakdown,258.2,268,134.12949015590553,128057.0,63.4,0.2981111111111111
1:2,1200,400,800,5,0,0,5,breakdown,331.2,336,146.33443851695927,123752.0,137.6,0.2568888888888889
1:3,1200,300,900,5,0,0,5,breakdown,345.8,352,137.08163135223424,121100.8,154.4,0.24755555555555556
1:4,1200,240,960,5,0,0,5,breakdown,329.6,336,118.021009988841,118374.4,143.0,0.2538888888888889
1:5,1200,200,1000,5,0,0,5,breakdown,273.0,281,75.55992777830338,115522.4,88.6,0.2841111111111111
