strategy,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
uncontrolled,200,818,509,509,508,1,0.2822222222222222,74.12795275590551,37657.0,1,222.73425196850394,113149.0,breakdown,1,1800.0,600.0,2400.0,191,1,0,509,509,0,0
uncontrolled,200,818,509,509,503,6,0.27944444444444444,76.55467196819086,38507.0,6,224.99005964214712,113170.0,breakdown,2,1800.0,600.0,2400.0,191,6,0,509,509,0,0
uncontrolled,200,818,509,509,509,0,0.2827777777777778,71.54223968565816,36415.0,0,220.87229862475442,112424.0,queue,3,1800.0,600.0,2400.0,179,0,0,509,509,0,0
uncontrolled,200,818,509,509,509,0,0.2827777777777778,62.22789783889981,31674.0,0,214.5893909626719,109226.0,queue,4,1800.0,600.0,2400.0,156,0,0,509,509,0,0
uncontrolled,200,818,509,509,509,0,0.2827777777777778,69.95481335952849,35607.0,0,218.1728880157171,111050.0,queue,5,1800.0,600.0,2400.0,180,0,0,509,509,0,0
uncontrolled,200,819,510,510,508,2,0.2822222222222222,74.71653543307086,37956.0,2,223.3996062992126,113487.0,breakdown,1,1800.0,600.0,2400.0,192,2,0,510,510,0,0
uncontrolled,200,819,510,510,510,0,0.2833333333333333,70.81764705882352,36117.0,0,218.76666666666668,111571.0,queue,2,1800.0,600.0,2400.0,181,0,0,510,510,0,0
uncontrolled,200,819,510,510,509,1,0.2827777777777778,70.58742632612966,35929.0,1,222.65029469548134,113329.0,breakdown,3,1800.0,600.0,2400.0,177,1,0,510,510,0,0
uncontrolled,200,819,510,510,505,5,0.28055555555555556,76.44950495049505,38607.0,5,224.88316831683167,113566.0,breakdown,4,1800.0,600.0,2400.0,194,5,0,510,510,0,0
uncontrolled,200,819,510,510,506,4,0.2811111111111111,76.76679841897233,38844.0,4,222.35770750988144,112513.0,breakdown,5,1800.0,600.0,2400.0,193,4,0,510,510,0,0
uncontrolled,200,820,510,511,505,6,0.28055555555555556,75.36633663366337,38060.0,6,224.42772277227724,113336.0,breakdown,1,1800.0,600.0,2400.0,192,6,0,511,511,0,0
uncontrolled,200,820,510,511,491,20,0.2727777777777778,80.14867617107943,39353.0,20,227.81466395112017,111857.0,breakdown,2,1800.0,600.0,2400.0,192,20,0,511,511,0,0
uncontrolled,200,820,510,511,511,0,0.2838888888888889,67.76516634050881,34628.0,0,219.15264187866927,111987.0,queue,3,1800.0,600.0,2400.0,180,0,0,511,511,0,0
uncontrolled,200,820,510,511,501,10,0.2783333333333333,77.88023952095809,39018.0,10,226.25349301397205,113353.0,breakdown,4,1800.0,600.0,2400.0,196,10,0,511,511,0,0
uncontrolled,200,820,510,511,498,13,0.27666666666666667,80.26907630522088,39974.0,13,225.15261044176708,112126.0,breakdown,5,1800.0,600.0,2400.0,199,13,0,511,511,0,0
1:1,200,818,509,509,420,89,0.23333333333333334,47.147619047619045,19802.0,89,275.54047619047617,115727.0,breakdown,1,1800.0,600.0,2400.0,268,47,42,467,509,0,0
1:1,200,818,509,509,416,93,0.2311111111111111,46.90144230769231,19511.0,93,278.7355769230769,115954.0,breakdown,2,1800.0,600.0,2400.0,270,46,47,462,509,0,0
1:1,200,818,509,509,417,92,0.23166666666666666,47.10071942446043,19641.0,92,278.04076738609115,115943.0,breakdown,3,1800.0,600.0,2400.0,272,46,46,463,509,0,0
1:1,200,818,509,509,417,92,0.23166666666666666,46.64988009592326,19453.0,92,278.4916067146283,116131.0,breakdown,4,1800.0,600.0,2400.0,272,44,48,461,509,0,0
1:1,200,818,509,509,414,95,0.23,46.6256038647343,19303.0,95,280.4661835748792,116113.0,breakdown,5,1800.0,600.0,2400.0,271,46,49,460,509,0,0
1:1,200,819,510,510,416,94,0.2311111111111111,47.10336538461539,19595.0,94,278.4567307692308,115838.0,breakdown,1,1800.0,600.0,2400.0,270,47,47,463,510,0,0
1:1,200,819,510,510,417,93,0.23166666666666666,46.92805755395683,19569.0,93,278.74340527577937,116236.0,breakdown,2,1800.0,600.0,2400.0,269,46,47,463,510,0,0
1:1,200,819,510,510,417,93,0.23166666666666666,46.08872901678657,19219.0,93,278.7841726618705,116253.0,breakdown,3,1800.0,600.0,2400.0,270,45,48,462,510,0,0
1:1,200,819,510,510,416,94,0.2311111111111111,48.53365384615385,20190.0,94,279.3004807692308,116189.0,breakdown,4,1800.0,600.0,2400.0,276,44,50,460,510,0,0
1:1,200,819,510,510,411,99,0.22833333333333333,48.06812652068127,19756.0,99,282.2457420924574,116003.0,breakdown,5,1800.0,600.0,2400.0,275,47,52,458,510,0,0
1:1,200,820,510,511,418,93,0.23222222222222222,45.49282296650718,19016.0,93,277.13157894736844,115841.0,breakdown,1,1800.0,600.0,2400.0,270,46,47,464,511,0,0
