strategy,main_veh_h,side_veh_h,runs,free_flow_runs,queue_runs,breakdown_runs,classification,mean_peak_queue_vehicles,max_peak_queue_vehicles,mean_avg_wait_time_s,mean_total_travel_time_s,mean_unfinished_vehicles,mean_throughput_veh_s
1:1,200,818,5,0,0,5,breakdown,270.6,272,46.88505294808587,115973.6,92.2,0.23155555555555554
1:1,200,819,5,0,0,5,breakdown,272.0,276,47.344386464438784,116103.8,94.6,0.23077777777777778
1:1,200,820,5,0,0,5,breakdown,271.2,275,46.646302100835854,115971.4,94.2,0.23155555555555554
2:1,200,818,5,0,0,5,breakdown,308.8,316,97.94741351546422,116779.2,121.8,0.21511111111111111
2:1,200,819,5,0,0,5,breakdown,308.8,313,99.27901111396658,116939.2,121.2,0.216
2:1,200,820,5,0,0,5,breakdown,308.8,316,98.46436713561617,116848.8,121.8,0.21622222222222223
3:1,200,818,5,0,0,5,breakdown,319.6,330,114.45278741677744,116867.8,131.2,0.2098888888888889
3:1,200,819,5,0,0,5,breakdown,318.6,328,116.06211614969472,117055.2,132.0,0.21
3:1,200,820,5,0,0,5,breakdown,322.0,330,115.50978900172304,116901.4,132.0,0.21055555555555555
5:1,200,818,5,0,0,5,breakdown,324.4,338,120.35748437026992,116955.4,133.2,0.20877777777777778
5:1,200,819,5,0,0,5,breakdown,327.2,341,124.8816780315474,117212.6,136.0,0.20777777777777778
5:1,200,820,5,0,0,5,breakdown,327.6,342,124.11273218232648,117153.6,135.4,0.20866666666666667
uncontrolled,200,818,5,0,3,2,queue,179.4,191,70.88151512163657,111803.8,1.4,0.28200000000000003
uncontrolled,200,819,5,0,1,4,breakdown,187.4,194,73.86758243749829,112893.2,2.4,0.282
uncontrolled,200,820,5,0,1,4,breakdown,191.8,199,76.28589899428611,112531.8,9.8,0.27844444444444444
