strategy,demand_ratio,total_demand_veh_h,cooperation_events,yielded_main_vehicles,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
uncontrolled,1:2,1000,0,0,333,667,500,501,451,50,0.25055555555555553,136.59423503325942,61604.0,50,263.74057649667407,118947.0,breakdown,1,1800.0,600.0,2400.0,240,46,4,497,501,0,0
uncontrolled,1:2,1000,0,0,333,667,500,501,449,52,0.24944444444444444,138.48329621380847,62179.0,52,266.4877505567929,119653.0,breakdown,2,1800.0,600.0,2400.0,239,48,4,497,501,0,0
uncontrolled,1:2,1000,0,0,333,667,500,501,451,50,0.25055555555555553,136.3059866962306,61474.0,50,263.6008869179601,118884.0,breakdown,3,1800.0,600.0,2400.0,240,45,5,496,501,0,0
uncontrolled,1:2,1000,0,0,333,667,500,501,447,54,0.24833333333333332,140.00671140939596,62583.0,54,267.37136465324386,119515.0,breakdown,4,1800.0,600.0,2400.0,251,45,9,492,501,0,0
uncontrolled,1:2,1000,0,0,333,667,500,501,441,60,0.245,141.43990929705217,62375.0,60,269.01814058956916,118637.0,breakdown,5,1800.0,600.0,2400.0,251,47,13,488,501,0,0
cooperative,1:2,1000,164,164,333,667,500,501,419,82,0.23277777777777778,166.8926014319809,69928.0,82,288.8615751789976,121033.0,breakdown,1,1800.0,600.0,2400.0,275,45,37,464,501,0,0
cooperative,1:2,1000,168,165,333,667,500,501,420,81,0.23333333333333334,166.52857142857144,69942.0,81,290.9190476190476,122186.0,breakdown,2,1800.0,600.0,2400.0,277,44,37,464,501,0,0
cooperative,1:2,1000,161,160,333,667,500,501,416,85,0.2311111111111111,166.42548076923077,69233.0,85,289.12740384615387,120277.0,breakdown,3,1800.0,600.0,2400.0,266,49,36,465,501,0,0
cooperative,1:2,1000,169,165,333,667,500,501,410,91,0.22777777777777777,172.71219512195123,70812.0,91,296.45365853658535,121546.0,breakdown,4,1800.0,600.0,2400.0,287,46,45,456,501,0,0
cooperative,1:2,1000,163,161,333,667,500,501,416,85,0.2311111111111111,167.03846153846155,69488.0,85,289.3317307692308,120362.0,breakdown,5,1800.0,600.0,2400.0,284,45,40,461,501,0,0
uncontrolled,1:3,1000,0,0,250,750,500,500,450,50,0.25,122.28444444444445,55028.0,50,258.06,116127.0,breakdown,1,1800.0,600.0,2400.0,240,47,3,497,500,0,0
uncontrolled,1:3,1000,0,0,250,750,500,500,447,53,0.24833333333333332,124.32662192393737,55574.0,53,261.88366890380314,117062.0,breakdown,2,1800.0,600.0,2400.0,245,45,8,492,500,0,0
uncontrolled,1:3,1000,0,0,250,750,500,500,440,60,0.24444444444444444,129.10227272727272,56805.0,60,265.8681818181818,116982.0,breakdown,3,1800.0,600.0,2400.0,246,45,15,485,500,0,0
uncontrolled,1:3,1000,0,0,250,750,500,500,444,56,0.24666666666666667,125.69369369369369,55808.0,56,259.85585585585585,115376.0,breakdown,4,1800.0,600.0,2400.0,240,47,9,491,500,0,0
uncontrolled,1:3,1000,0,0,250,750,500,500,444,56,0.24666666666666667,126.44144144144144,56140.0,56,261.85360360360363,116263.0,breakdown,5,1800.0,600.0,2400.0,242,46,10,490,500,0,0
cooperative,1:3,1000,121,121,250,750,500,500,420,80,0.23333333333333334,146.75,61635.0,80,281.93095238095236,118411.0,breakdown,1,1800.0,600.0,2400.0,272,46,34,466,500,0,0
cooperative,1:3,1000,121,121,250,750,500,500,424,76,0.23555555555555555,145.0259433962264,61491.0,76,278.4929245283019,118081.0,breakdown,2,1800.0,600.0,2400.0,267,45,31,469,500,0,0
cooperative,1:3,1000,120,120,250,750,500,500,416,84,0.2311111111111111,152.8966346153846,63605.0,84,284.55528846153845,118375.0,breakdown,3,1800.0,600.0,2400.0,277,46,38,462,500,0,0
cooperative,1:3,1000,120,120,250,750,500,500,423,77,0.235,146.74231678486998,62072.0,77,277.45626477541373,117364.0,breakdown,4,1800.0,600.0,2400.0,275,46,31,469,500,0,0
cooperative,1:3,1000,117,117,250,750,500,500,430,70,0.2388888888888889,140.10930232558138,60247.0,70,272.9767441860465,117380.0,breakdown,5,1800.0,600.0,2400.0,256,46,24,476,500,0,0
