strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
uncontrolled,1:2,1000,0,0,0,0,333,667,500,501,451,50,0.25055555555555553,136.59423503325942,61604.0,50,263.74057649667407,118947.0,breakdown,1,1800.0,600.0,2400.0,240,46,4,497,501,0,0
uncontrolled,1:2,1000,0,0,0,0,333,667,500,501,449,52,0.24944444444444444,138.48329621380847,62179.0,52,266.4877505567929,119653.0,breakdown,2,1800.0,600.0,2400.0,239,48,4,497,501,0,0
uncontrolled,1:2,1000,0,0,0,0,333,667,500,501,451,50,0.25055555555555553,136.3059866962306,61474.0,50,263.6008869179601,118884.0,breakdown,3,1800.0,600.0,2400.0,240,45,5,496,501,0,0
uncontrolled,1:2,1000,0,0,0,0,333,667,500,501,447,54,0.24833333333333332,140.00671140939596,62583.0,54,267.37136465324386,119515.0,breakdown,4,1800.0,600.0,2400.0,251,45,9,492,501,0,0
uncontrolled,1:2,1000,0,0,0,0,333,667,500,501,441,60,0.245,141.43990929705217,62375.0,60,269.01814058956916,118637.0,breakdown,5,1800.0,600.0,2400.0,251,47,13,488,501,0,0
cooperative_limited,1:2,1000,89,1,88,89,333,667,500,501,448,53,0.24888888888888888,138.68973214285714,62133.0,53,266.04910714285717,119190.0,breakdown,1,1800.0,600.0,2400.0,244,45,8,493,501,0,0
cooperative_limited,1:2,1000,93,0,93,93,333,667,500,501,439,62,0.24388888888888888,146.65831435079727,64383.0,62,274.5763097949886,120539.0,breakdown,2,1800.0,600.0,2400.0,247,46,16,485,501,0,0
cooperative_limited,1:2,1000,86,1,85,86,333,667,500,501,453,48,0.25166666666666665,137.33774834437085,62214.0,48,262.52759381898454,118925.0,breakdown,3,1800.0,600.0,2400.0,241,47,1,500,501,0,0
cooperative_limited,1:2,1000,88,0,88,88,333,667,500,501,446,55,0.2477777777777778,142.04708520179372,63353.0,55,267.91255605381167,119489.0,breakdown,4,1800.0,600.0,2400.0,241,46,9,492,501,0,0
cooperative_limited,1:2,1000,88,0,88,88,333,667,500,501,446,55,0.2477777777777778,140.35874439461884,62600.0,55,265.2152466367713,118286.0,breakdown,5,1800.0,600.0,2400.0,243,48,7,494,501,0,0
uncontrolled,1:3,1000,0,0,0,0,250,750,500,500,450,50,0.25,122.28444444444445,55028.0,50,258.06,116127.0,breakdown,1,1800.0,600.0,2400.0,240,47,3,497,500,0,0
uncontrolled,1:3,1000,0,0,0,0,250,750,500,500,447,53,0.24833333333333332,124.32662192393737,55574.0,53,261.88366890380314,117062.0,breakdown,2,1800.0,600.0,2400.0,245,45,8,492,500,0,0
uncontrolled,1:3,1000,0,0,0,0,250,750,500,500,440,60,0.24444444444444444,129.10227272727272,56805.0,60,265.8681818181818,116982.0,breakdown,3,1800.0,600.0,2400.0,246,45,15,485,500,0,0
uncontrolled,1:3,1000,0,0,0,0,250,750,500,500,444,56,0.24666666666666667,125.69369369369369,55808.0,56,259.85585585585585,115376.0,breakdown,4,1800.0,600.0,2400.0,240,47,9,491,500,0,0
uncontrolled,1:3,1000,0,0,0,0,250,750,500,500,444,56,0.24666666666666667,126.44144144144144,56140.0,56,261.85360360360363,116263.0,breakdown,5,1800.0,600.0,2400.0,242,46,10,490,500,0,0
cooperative_limited,1:3,1000,88,14,74,88,250,750,500,500,462,38,0.25666666666666665,113.4090909090909,52395.0,38,250.15151515151516,115570.0,breakdown,1,1800.0,600.0,2400.0,222,38,0,500,500,0,0
cooperative_limited,1:3,1000,89,3,86,89,250,750,500,500,447,53,0.24833333333333332,125.73825503355705,56205.0,53,262.1633109619687,117187.0,breakdown,2,1800.0,600.0,2400.0,244,45,8,492,500,0,0
cooperative_limited,1:3,1000,88,4,84,88,250,750,500,500,453,47,0.25166666666666665,120.73951434878587,54695.0,47,257.6048565121413,116695.0,breakdown,3,1800.0,600.0,2400.0,231,45,2,498,500,0,0
cooperative_limited,1:3,1000,88,4,84,88,250,750,500,500,462,38,0.25666666666666665,114.3896103896104,52848.0,38,249.16017316017317,115112.0,breakdown,4,1800.0,600.0,2400.0,228,38,0,500,500,0,0
cooperative_limited,1:3,1000,89,6,83,89,250,750,500,500,439,61,0.24388888888888888,128.07744874715263,56226.0,61,264.7380410022779,116220.0,breakdown,5,1800.0,600.0,2400.0,242,47,14,486,500,0,0
