strategy,demand_ratio,total_demand_veh_h,main_veh_h,side_veh_h,runs,queue_runs,breakdown_runs,classification,mean_total_time_spent_s,mean_network_time_spent_s,mean_insertion_wait_time_s,mean_main_insertion_wait_time_s,mean_side_insertion_wait_time_s,mean_main_avg_stopped_time_s,mean_side_avg_stopped_time_s,mean_main_peak_pending_vehicles,mean_side_peak_pending_vehicles,mean_pending_vehicles_end,mean_unfinished_vehicles,mean_throughput_veh_h,mean_interventions,mean_side_merges_after_intervention,max_abs_loaded_reconciliation_error_veh
cooperative_limited,1:1,800,400,400,5,5,0,queue,167915.6,105084.0,62831.6,0.0,62831.6,0.0,297.551,0.0,84.8,0.0,0.0,800.0,98.2,68.2,0
cooperative_limited,1:2,800,267,533,5,5,0,queue,193864.6,106784.6,87080.0,0.0,87080.0,0.0,199.91685393258427,0.0,105.2,0.0,0.0,802.0,87.8,115.6,0
cooperative_limited,1:3,800,200,600,5,5,0,queue,177367.6,101572.8,75794.8,0.0,75794.8,0.0,155.79933333333332,0.0,97.4,0.0,0.0,800.0,85.4,150.4,0
cooperative_limited,1:4,800,160,640,5,5,0,queue,25331.8,25331.8,0.0,0.0,0.0,0.0,0.139375,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0
cooperative_limited,1:5,800,133,667,5,5,0,queue,25491.6,25491.6,0.0,0.0,0.0,0.0,0.2119760479041916,0.0,0.0,0.0,0.0,802.0,0.0,0.0,0
cooperative_limited,1:1,1000,500,500,5,2,3,breakdown,265117.4,122480.6,142636.8,0.0,142636.8,0.0,269.7704,0.0,151.2,0.0,3.2,993.6000000000001,104.2,52.8,0
cooperative_limited,1:2,1000,333,667,5,0,5,breakdown,339040.6,122213.4,216827.2,0.0,216827.2,0.0,193.28797552498276,0.0,203.6,8.2,54.6,892.8,88.8,83.4,0
cooperative_limited,1:3,1000,250,750,5,0,5,breakdown,330795.4,119056.8,211738.6,0.0,211738.6,0.0,147.27565477739117,0.0,199.6,4.8,47.4,905.1999999999999,88.4,127.0,0
cooperative_limited,1:4,1000,200,800,5,0,5,breakdown,323901.8,117217.6,206684.2,0.0,206684.2,0.0,125.44907682619647,0.0,196.6,0.6,38.6,922.8000000000001,86.4,153.8,0
cooperative_limited,1:5,1000,167,833,5,5,0,queue,33706.2,33706.2,0.0,0.0,0.0,0.0,1.3035971223021583,0.0,0.0,0.0,0.0,1002.0,4.2,25.0,0
cooperative_limited,1:1,1200,600,600,5,0,5,breakdown,363823.2,131379.2,232444.0,0.0,232444.0,0.0,260.813385324062,0.0,214.0,19.8,66.4,1067.2,108.2,41.2,0
cooperative_limited,1:2,1200,400,800,5,0,5,breakdown,464101.8,126797.6,337304.2,0.0,337304.2,0.0,218.81915466194354,0.0,284.8,89.4,135.0,929.9999999999999,99.4,68.2,0
cooperative_limited,1:3,1200,300,900,5,0,5,breakdown,490892.6,124029.8,366862.8,0.0,366862.8,0.0,180.13587106087053,0.0,303.6,106.2,153.0,894.0,85.4,100.4,0
cooperative_limited,1:4,1200,240,960,5,0,5,breakdown,482567.8,121616.2,360951.6,0.0,360951.6,0.0,147.42358653817146,0.0,301.4,100.8,146.6,906.8,92.6,131.6,0
cooperative_limited,1:5,1200,200,1000,5,0,5,breakdown,480082.2,120293.8,359788.4,0.0,359788.4,0.0,131.9970407055631,0.0,300.4,100.0,145.6,908.8000000000001,89.2,152.6,0
uncontrolled,1:1,800,400,400,5,5,0,queue,166921.2,104704.8,62216.4,0.0,62216.4,0.0,295.161,0.0,85.2,0.0,0.0,800.0,0.0,0.0,0
