total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,cooperative_value,paired_delta
800,1:1,1,total_time_spent_s,True,172937.0,168802.0,-4135.0
800,1:1,1,network_time_spent_s,True,105972.0,105459.0,-513.0
800,1:1,1,insertion_wait_time_s,True,66965.0,63343.0,-3622.0
800,1:1,1,unfinished_vehicles,True,0.0,0.0,0.0
800,1:1,1,throughput_veh_h,False,800.0,800.0,0.0
800,1:1,2,total_time_spent_s,True,163705.0,167010.0,3305.0
800,1:1,2,network_time_spent_s,True,104328.0,105615.0,1287.0
800,1:1,2,insertion_wait_time_s,True,59377.0,61395.0,2018.0
800,1:1,2,unfinished_vehicles,True,0.0,0.0,0.0
800,1:1,2,throughput_veh_h,False,800.0,800.0,0.0
800,1:1,3,total_time_spent_s,True,160403.0,159374.0,-1029.0
800,1:1,3,network_time_spent_s,True,102745.0,102163.0,-582.0
800,1:1,3,insertion_wait_time_s,True,57658.0,57211.0,-447.0
800,1:1,3,unfinished_vehicles,True,0.0,0.0,0.0
800,1:1,3,throughput_veh_h,False,800.0,800.0,0.0
800,1:1,4,total_time_spent_s,True,169416.0,177924.0,8508.0
800,1:1,4,network_time_spent_s,True,105460.0,107317.0,1857.0
800,1:1,4,insertion_wait_time_s,True,63956.0,70607.0,6651.0
800,1:1,4,unfinished_vehicles,True,0.0,0.0,0.0
800,1:1,4,throughput_veh_h,False,800.0,800.0,0.0
800,1:1,5,total_time_spent_s,True,168145.0,166468.0,-1677.0
800,1:1,5,network_time_spent_s,True,105019.0,104866.0,-153.0
800,1:1,5,insertion_wait_time_s,True,63126.0,61602.0,-1524.0
800,1:1,5,unfinished_vehicles,True,0.0,0.0,0.0
800,1:1,5,throughput_veh_h,False,800.0,800.0,0.0
800,1:2,1,total_time_spent_s,True,184512.0,195409.0,10897.0
800,1:2,1,network_time_spent_s,True,104801.0,106604.0,1803.0
800,1:2,1,insertion_wait_time_s,True,79711.0,88805.0,9094.0
800,1:2,1,unfinished_vehicles,True,0.0,0.0,0.0
800,1:2,1,throughput_veh_h,False,802.0,802.0,0.0
800,1:2,2,total_time_spent_s,True,206789.0,196879.0,-9910.0
800,1:2,2,network_time_spent_s,True,109611.0,108673.0,-938.0
800,1:2,2,insertion_wait_time_s,True,97178.0,88206.0,-8972.0
800,1:2,2,unfinished_vehicles,True,0.0,0.0,0.0
800,1:2,2,throughput_veh_h,False,802.0,802.0,0.0
800,1:2,3,total_time_spent_s,True,205910.0,197117.0,-8793.0
800,1:2,3,network_time_spent_s,True,108388.0,107113.0,-1275.0
800,1:2,3,insertion_wait_time_s,True,97522.0,90004.0,-7518.0
800,1:2,3,unfinished_vehicles,True,0.0,0.0,0.0
800,1:2,3,throughput_veh_h,False,802.0,802.0,0.0
800,1:2,4,total_time_spent_s,True,198098.0,198572.0,474.0
800,1:2,4,network_time_spent_s,True,107472.0,107128.0,-344.0
800,1:2,4,insertion_wait_time_s,True,90626.0,91444.0,818.0
800,1:2,4,unfinished_vehicles,True,0.0,0.0,0.0
800,1:2,4,throughput_veh_h,False,802.0,802.0,0.0
800,1:2,5,total_time_spent_s,True,190240.0,181346.0,-8894.0
800,1:2,5,network_time_spent_s,True,106392.0,104405.0,-1987.0
800,1:2,5,insertion_wait_time_s,True,83848.0,76941.0,-6907.0
800,1:2,5,unfinished_vehicles,True,0.0,0.0,0.0
800,1:2,5,throughput_veh_h,False,802.0,802.0,0.0
800,1:3,1,total_time_spent_s,True,100346.0,179548.0,79202.0
800,1:3,1,network_time_spent_s,True,82632.0,101768.0,19136.0
800,1:3,1,insertion_wait_time_s,True,17714.0,77780.0,60066.0
800,1:3,1,unfinished_vehicles,True,0.0,0.0,0.0
800,1:3,1,throughput_veh_h,False,800.0,800.0,0.0
800,1:3,2,total_time_spent_s,True,114874.0,169422.0,54548.0
800,1:3,2,network_time_spent_s,True,85329.0,100135.0,14806.0
800,1:3,2,insertion_wait_time_s,True,29545.0,69287.0,39742.0
800,1:3,2,unfinished_vehicles,True,0.0,0.0,0.0
800,1:3,2,throughput_veh_h,False,800.0,800.0,0.0
800,1:3,3,total_time_spent_s,True,115075.0,174893.0,59818.0
800,1:3,3,network_time_spent_s,True,88464.0,101559.0,13095.0
800,1:3,3,insertion_wait_time_s,True,26611.0,73334.0,46723.0
800,1:3,3,unfinished_vehicles,True,0.0,0.0,0.0
800,1:3,3,throughput_veh_h,False,800.0,800.0,0.0
800,1:3,4,total_time_spent_s,True,120820.0,192755.0,71935.0
800,1:3,4,network_time_spent_s,True,91693.0,103520.0,11827.0
800,1:3,4,insertion_wait_time_s,True,29127.0,89235.0,60108.0
800,1:3,4,unfinished_vehicles,True,0.0,0.0,0.0
800,1:3,4,throughput_veh_h,False,800.0,800.0,0.0
800,1:3,5,total_time_spent_s,True,127964.0,170220.0,42256.0
800,1:3,5,network_time_spent_s,True,90469.0,100882.0,10413.0
800,1:3,5,insertion_wait_time_s,True,37495.0,69338.0,31843.0
800,1:3,5,unfinished_vehicles,True,0.0,0.0,0.0
800,1:3,5,throughput_veh_h,False,800.0,800.0,0.0
800,1:4,1,total_time_spent_s,True,25288.0,25288.0,0.0
800,1:4,1,network_time_spent_s,True,25288.0,25288.0,0.0
800,1:4,1,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:4,1,unfinished_vehicles,True,0.0,0.0,0.0
800,1:4,1,throughput_veh_h,False,800.0,800.0,0.0
800,1:4,2,total_time_spent_s,True,25380.0,25380.0,0.0
800,1:4,2,network_time_spent_s,True,25380.0,25380.0,0.0
800,1:4,2,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:4,2,unfinished_vehicles,True,0.0,0.0,0.0
800,1:4,2,throughput_veh_h,False,800.0,800.0,0.0
800,1:4,3,total_time_spent_s,True,25476.0,25476.0,0.0
800,1:4,3,network_time_spent_s,True,25476.0,25476.0,0.0
800,1:4,3,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:4,3,unfinished_vehicles,True,0.0,0.0,0.0
800,1:4,3,throughput_veh_h,False,800.0,800.0,0.0
800,1:4,4,total_time_spent_s,True,25178.0,25178.0,0.0
800,1:4,4,network_time_spent_s,True,25178.0,25178.0,0.0
800,1:4,4,insertion_wait_time_s,True,0.0,0.0,0.0
