strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,main_loaded_veh,main_arrived_veh,main_unfinished_veh,main_total_time_spent_s,main_total_wait_time_s,main_avg_wait_time_s,main_peak_queue_vehicles,side_loaded_veh,side_arrived_veh,side_unfinished_veh,side_total_time_spent_s,side_total_wait_time_s,side_avg_wait_time_s,side_peak_queue_vehicles,total_time_spent_s,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
uncontrolled,1:1,800,0,0,0,0,0,200,200,0,11731.0,0.0,0.0,0,200,200,0,94241.0,60529.0,302.645,53,105972.0,400,400,400,400,400,0,0.2222222222222222,151.3025,60529.0,0,264.93,105972.0,queue,1,1800.0,600.0,2400.0,133,0,0,400,400,0,0
uncontrolled,1:1,800,0,0,0,0,0,200,200,0,11741.0,0.0,0.0,0,200,200,0,92587.0,58661.0,293.305,53,104328.0,400,400,400,400,400,0,0.2222222222222222,146.62,58661.0,0,260.82,104328.0,queue,2,1800.0,600.0,2400.0,122,0,0,400,400,0,0
uncontrolled,1:1,800,0,0,0,0,0,200,200,0,11654.0,0.0,0.0,0,200,200,0,91091.0,57350.0,286.75,53,102745.0,400,400,400,400,400,0,0.2222222222222222,143.3425,57350.0,0,256.8625,102745.0,queue,3,1800.0,600.0,2400.0,131,0,0,400,400,0,0
uncontrolled,1:1,800,0,0,0,0,0,200,200,0,11595.0,0.0,0.0,0,200,200,0,93865.0,59757.0,298.785,53,105460.0,400,400,400,400,400,0,0.2222222222222222,149.3675,59757.0,0,263.65,105460.0,queue,4,1800.0,600.0,2400.0,131,0,0,400,400,0,0
uncontrolled,1:1,800,0,0,0,0,0,200,200,0,11702.0,0.0,0.0,0,200,200,0,93317.0,58864.0,294.32,53,105019.0,400,400,400,400,400,0,0.2222222222222222,147.135,58864.0,0,262.5475,105019.0,queue,5,1800.0,600.0,2400.0,127,0,0,400,400,0,0
cooperative_limited,1:1,800,100,1,99,100,67,200,200,0,11892.0,0.0,0.0,0,200,200,0,93567.0,60176.0,300.88,53,105459.0,400,400,400,400,400,0,0.2222222222222222,150.4175,60176.0,0,263.6475,105459.0,queue,1,1800.0,600.0,2400.0,127,0,0,400,400,0,0
cooperative_limited,1:1,800,98,0,98,98,69,200,200,0,11882.0,0.0,0.0,0,200,200,0,93733.0,59198.0,295.99,53,105615.0,400,400,400,400,400,0,0.2222222222222222,147.975,59198.0,0,264.0375,105615.0,queue,2,1800.0,600.0,2400.0,129,0,0,400,400,0,0
cooperative_limited,1:1,800,96,0,96,96,70,200,200,0,11830.0,0.0,0.0,0,200,200,0,90333.0,57385.0,286.925,53,102163.0,400,400,400,400,400,0,0.2222222222222222,143.4425,57385.0,0,255.4075,102163.0,queue,3,1800.0,600.0,2400.0,132,0,0,400,400,0,0
cooperative_limited,1:1,800,99,0,99,99,63,200,200,0,11758.0,0.0,0.0,0,200,200,0,95559.0,62645.0,313.225,53,107317.0,400,400,400,400,400,0,0.2222222222222222,156.595,62645.0,0,268.2925,107317.0,queue,4,1800.0,600.0,2400.0,138,0,0,400,400,0,0
cooperative_limited,1:1,800,98,1,97,98,72,200,200,0,11850.0,0.0,0.0,0,200,200,0,93016.0,58147.0,290.735,53,104866.0,400,400,400,400,400,0,0.2222222222222222,145.35,58147.0,0,262.165,104866.0,queue,5,1800.0,600.0,2400.0,123,0,0,400,400,0,0
uncontrolled,1:2,800,0,0,0,0,0,134,134,0,7836.0,0.0,0.0,0,267,267,0,96965.0,51596.0,193.24344569288388,41,104801.0,267,533,400,401,401,0,0.22277777777777777,128.6284289276808,51596.0,0,261.34912718204487,104801.0,queue,1,1800.0,600.0,2400.0,136,0,0,401,401,0,0
uncontrolled,1:2,800,0,0,0,0,0,134,134,0,7830.0,0.0,0.0,0,267,267,0,101781.0,54964.0,205.85767790262173,44,109611.0,267,533,400,401,401,0,0.22277777777777777,137.03491271820448,54964.0,0,273.3441396508728,109611.0,queue,2,1800.0,600.0,2400.0,150,0,0,401,401,0,0
uncontrolled,1:2,800,0,0,0,0,0,134,134,0,7854.0,0.0,0.0,0,267,267,0,100534.0,55309.0,207.1498127340824,49,108388.0,267,533,400,401,401,0,0.22277777777777777,137.90274314214463,55309.0,0,270.2942643391521,108388.0,queue,3,1800.0,600.0,2400.0,149,0,0,401,401,0,0
uncontrolled,1:2,800,0,0,0,0,0,134,134,0,7758.0,0.0,0.0,0,267,267,0,99714.0,53701.0,201.12734082397003,44,107472.0,267,533,400,401,401,0,0.22277777777777777,133.88279301745635,53701.0,0,268.00997506234415,107472.0,queue,4,1800.0,600.0,2400.0,148,0,0,401,401,0,0
uncontrolled,1:2,800,0,0,0,0,0,134,134,0,7806.0,0.0,0.0,0,267,267,0,98586.0,51951.0,194.57303370786516,41,106392.0,267,533,400,401,401,0,0.22277777777777777,129.5211970074813,51951.0,0,265.3167082294264,106392.0,queue,5,1800.0,600.0,2400.0,138,0,0,401,401,0,0
cooperative_limited,1:2,800,88,3,85,88,119,134,134,0,7964.0,0.0,0.0,0,267,267,0,98640.0,53695.0,201.10486891385767,46,106604.0,267,533,400,401,401,0,0.22277777777777777,133.86533665835412,53695.0,0,265.8453865336658,106604.0,queue,1,1800.0,600.0,2400.0,146,0,0,401,401,0,0
cooperative_limited,1:2,800,87,7,80,87,115,134,134,0,7958.0,0.0,0.0,0,267,267,0,100715.0,54233.0,203.1198501872659,47,108673.0,267,533,400,401,401,0,0.22277777777777777,135.22194513715712,54233.0,0,271.00498753117205,108673.0,queue,2,1800.0,600.0,2400.0,137,0,0,401,401,0,0
cooperative_limited,1:2,800,88,6,82,88,112,134,134,0,7970.0,0.0,0.0,0,267,267,0,99143.0,53903.0,201.88389513108615,47,107113.0,267,533,400,401,401,0,0.22277777777777777,134.39900249376558,53903.0,0,267.1147132169576,107113.0,queue,3,1800.0,600.0,2400.0,145,0,0,401,401,0,0
cooperative_limited,1:2,800,89,6,83,89,108,134,134,0,7898.0,0.0,0.0,0,267,267,0,99230.0,54072.0,202.51685393258427,46,107128.0,267,533,400,401,401,0,0.22277777777777777,134.81047381546134,54072.0,0,267.15211970074813,107128.0,queue,4,1800.0,600.0,2400.0,144,0,0,401,401,0,0
cooperative_limited,1:2,800,87,6,81,87,124,134,134,0,7954.0,0.0,0.0,0,267,267,0,96451.0,50986.0,190.95880149812734,40,104405.0,267,533,400,401,401,0,0.22277777777777777,127.12219451371571,50986.0,0,260.3615960099751,104405.0,queue,5,1800.0,600.0,2400.0,129,0,0,401,401,0,0
uncontrolled,1:3,800,0,0,0,0,0,100,100,0,5901.0,0.0,0.0,0,300,300,0,76731.0,29111.0,97.03666666666666,37,82632.0,200,600,400,400,400,0,0.2222222222222222,72.7475,29111.0,0,206.58,82632.0,queue,1,1800.0,600.0,2400.0,67,0,0,400,400,0,0
