strategy,demand_ratio,total_demand_veh_h,main_veh_h,side_veh_h,runs,queue_runs,breakdown_runs,classification,mean_total_time_spent_s,mean_main_avg_wait_time_s,mean_side_avg_wait_time_s,mean_main_peak_queue_vehicles,mean_side_peak_queue_vehicles,mean_unfinished_vehicles,mean_throughput_veh_h,mean_interventions,mean_side_merges_after_intervention
cooperative_limited,1:1,800,400,400,5,5,0,queue,105084.0,0.0,297.551,0.0,53.0,0.0,800.0,98.2,68.2
cooperative_limited,1:2,800,267,533,5,5,0,queue,106784.6,0.0,199.91685393258427,0.0,45.2,0.0,802.0,87.8,115.6
cooperative_limited,1:3,800,200,600,5,5,0,queue,101572.8,0.0,155.79933333333332,0.0,38.8,0.0,800.0,85.4,150.4
cooperative_limited,1:4,800,160,640,5,5,0,queue,25331.8,0.0,0.139375,0.0,1.2,0.0,800.0,0.0,0.0
cooperative_limited,1:5,800,133,667,5,5,0,queue,25491.6,0.0,0.2119760479041916,0.0,1.2,0.0,802.0,0.0,0.0
cooperative_limited,1:1,1000,500,500,5,2,3,breakdown,122480.6,0.0,269.7704,0.0,53.0,3.2,993.6000000000001,104.2,52.8
cooperative_limited,1:2,1000,333,667,5,0,5,breakdown,122213.4,0.0,193.28797552498276,0.0,52.6,54.6,892.8,88.8,83.4
cooperative_limited,1:3,1000,250,750,5,0,5,breakdown,119056.8,0.0,147.27565477739117,0.0,42.2,47.4,905.1999999999999,88.4,127.0
cooperative_limited,1:4,1000,200,800,5,0,5,breakdown,117217.6,0.0,125.44907682619647,0.0,39.4,38.6,922.8000000000001,86.4,153.8
cooperative_limited,1:5,1000,167,833,5,5,0,queue,33706.2,0.0,1.3035971223021583,0.0,7.6,0.0,1002.0,4.2,25.0
cooperative_limited,1:1,1200,600,600,5,0,5,breakdown,131379.2,0.0,260.813385324062,0.0,53.0,66.4,1067.2,108.2,41.2
cooperative_limited,1:2,1200,400,800,5,0,5,breakdown,126797.6,0.0,218.81915466194354,0.0,53.0,135.0,929.9999999999999,99.4,68.2
cooperative_limited,1:3,1200,300,900,5,0,5,breakdown,124029.8,0.0,180.13587106087053,0.0,50.2,153.0,894.0,85.4,100.4
cooperative_limited,1:4,1200,240,960,5,0,5,breakdown,121616.2,0.0,147.42358653817146,0.0,43.8,146.6,906.8,92.6,131.6
cooperative_limited,1:5,1200,200,1000,5,0,5,breakdown,120293.8,0.0,131.9970407055631,0.0,39.2,145.6,908.8000000000001,89.2,152.6
uncontrolled,1:1,800,400,400,5,5,0,queue,104704.8,0.0,295.161,0.0,53.0,0.0,800.0,0.0,0.0
uncontrolled,1:2,800,267,533,5,5,0,queue,107332.8,0.0,200.39026217228465,0.0,43.8,0.0,802.0,0.0,0.0
uncontrolled,1:3,800,200,600,5,5,0,queue,87717.4,0.0,106.32533333333333,0.0,37.8,0.0,800.0,0.0,0.0
uncontrolled,1:4,800,160,640,5,5,0,queue,25331.8,0.0,0.139375,0.0,1.2,0.0,800.0,0.0,0.0
uncontrolled,1:5,800,133,667,5,5,0,queue,25491.6,0.0,0.2119760479041916,0.0,1.2,0.0,802.0,0.0,0.0
uncontrolled,1:1,1000,500,500,5,3,2,queue,121921.0,0.0,264.8088,0.0,53.0,2.0,996.0,0.0,0.0
uncontrolled,1:2,1000,333,667,5,0,5,breakdown,122043.8,0.0,189.81464090678327,0.0,51.2,53.2,895.5999999999999,0.0,0.0
uncontrolled,1:3,1000,250,750,5,0,5,breakdown,119264.8,0.0,152.72430626518812,0.0,41.8,55.0,890.0,0.0,0.0
uncontrolled,1:4,1000,200,800,5,5,0,queue,110436.0,0.0,90.035,0.0,38.0,0.0,1000.0,0.0,0.0
uncontrolled,1:5,1000,167,833,5,5,0,queue,33133.8,0.0,0.8436450839328536,0.0,6.2,0.0,1002.0,0.0,0.0
uncontrolled,1:1,1200,600,600,5,0,5,breakdown,131053.6,0.0,254.31992008110194,0.0,53.0,63.4,1073.2,0.0,0.0
uncontrolled,1:2,1200,400,800,5,0,5,breakdown,126693.6,0.0,219.17921640752726,0.0,53.0,137.6,924.8,0.0,0.0
uncontrolled,1:3,1200,300,900,5,0,5,breakdown,123898.4,0.0,179.2168107515569,0.0,47.8,154.4,891.2,0.0,0.0
uncontrolled,1:4,1200,240,960,5,0,5,breakdown,121279.4,0.0,140.82764469700592,0.0,41.2,143.0,914.0,0.0,0.0
uncontrolled,1:5,1200,200,1000,5,0,5,breakdown,118434.8,0.0,84.5047101774206,0.0,36.8,88.6,1022.8,0.0,0.0
