strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,meter_release_interval_s,meter_activations,meter_active_time_s,meter_active_share,meter_releases,main_loaded_veh,main_departed_veh,main_arrived_veh,main_network_unfinished_veh,main_pending_veh_end,main_total_unfinished_veh,main_network_time_spent_s,main_insertion_wait_time_s,main_total_time_spent_s,main_stopped_time_s,main_avg_stopped_time_s,main_peak_network_queue_vehicles,main_peak_pending_vehicles,side_loaded_veh,side_departed_veh,side_arrived_veh,side_network_unfinished_veh,side_pending_veh_end,side_total_unfinished_veh,side_network_time_spent_s,side_insertion_wait_time_s,side_total_time_spent_s,side_stopped_time_s,side_avg_stopped_time_s,side_peak_network_queue_vehicles,side_peak_pending_vehicles,network_time_spent_s,insertion_wait_time_s,total_time_spent_s,accounted_loaded_veh,loaded_reconciliation_error_veh,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
uncontrolled,1:1,800,0,0,0,0,0,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11731.0,0.0,11731.0,0.0,0.0,0,0,200,200,200,0,0,0,94241.0,66965.0,161206.0,60529.0,302.645,53,89,105972.0,66965.0,172937.0,400,0,400,400,400,400,400,0,0.2222222222222222,151.3025,60521.0,0,264.93,105972.0,queue,1,1800.0,600.0,2400.0,133,0,0,400,400,0,0
uncontrolled,1:1,800,0,0,0,0,0,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11741.0,0.0,11741.0,0.0,0.0,0,0,200,200,200,0,0,0,92587.0,59377.0,151964.0,58661.0,293.305,53,83,104328.0,59377.0,163705.0,400,0,400,400,400,400,400,0,0.2222222222222222,146.62,58648.0,0,260.82,104328.0,queue,2,1800.0,600.0,2400.0,122,0,0,400,400,0,0
uncontrolled,1:1,800,0,0,0,0,0,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11654.0,0.0,11654.0,0.0,0.0,0,0,200,200,200,0,0,0,91091.0,57658.0,148749.0,57350.0,286.75,53,82,102745.0,57658.0,160403.0,400,0,400,400,400,400,400,0,0.2222222222222222,143.3425,57337.0,0,256.8625,102745.0,queue,3,1800.0,600.0,2400.0,131,0,0,400,400,0,0
uncontrolled,1:1,800,0,0,0,0,0,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11595.0,0.0,11595.0,0.0,0.0,0,0,200,200,200,0,0,0,93865.0,63956.0,157821.0,59757.0,298.785,53,87,105460.0,63956.0,169416.0,400,0,400,400,400,400,400,0,0.2222222222222222,149.3675,59747.0,0,263.65,105460.0,queue,4,1800.0,600.0,2400.0,131,0,0,400,400,0,0
uncontrolled,1:1,800,0,0,0,0,0,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11702.0,0.0,11702.0,0.0,0.0,0,0,200,200,200,0,0,0,93317.0,63126.0,156443.0,58864.0,294.32,53,85,105019.0,63126.0,168145.0,400,0,400,400,400,400,400,0,0.2222222222222222,147.135,58854.0,0,262.5475,105019.0,queue,5,1800.0,600.0,2400.0,127,0,0,400,400,0,0
cooperative_limited,1:1,800,100,1,99,100,67,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11892.0,0.0,11892.0,0.0,0.0,0,0,200,200,200,0,0,0,93567.0,63343.0,156910.0,60176.0,300.88,53,86,105459.0,63343.0,168802.0,400,0,400,400,400,400,400,0,0.2222222222222222,150.4175,60167.0,0,263.6475,105459.0,queue,1,1800.0,600.0,2400.0,127,0,0,400,400,0,0
cooperative_limited,1:1,800,98,0,98,98,69,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11882.0,0.0,11882.0,0.0,0.0,0,0,200,200,200,0,0,0,93733.0,61395.0,155128.0,59198.0,295.99,53,84,105615.0,61395.0,167010.0,400,0,400,400,400,400,400,0,0.2222222222222222,147.975,59190.0,0,264.0375,105615.0,queue,2,1800.0,600.0,2400.0,129,0,0,400,400,0,0
cooperative_limited,1:1,800,96,0,96,96,70,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11830.0,0.0,11830.0,0.0,0.0,0,0,200,200,200,0,0,0,90333.0,57211.0,147544.0,57385.0,286.925,53,79,102163.0,57211.0,159374.0,400,0,400,400,400,400,400,0,0.2222222222222222,143.4425,57377.0,0,255.4075,102163.0,queue,3,1800.0,600.0,2400.0,132,0,0,400,400,0,0
cooperative_limited,1:1,800,99,0,99,99,63,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11758.0,0.0,11758.0,0.0,0.0,0,0,200,200,200,0,0,0,95559.0,70607.0,166166.0,62645.0,313.225,53,92,107317.0,70607.0,177924.0,400,0,400,400,400,400,400,0,0.2222222222222222,156.595,62638.0,0,268.2925,107317.0,queue,4,1800.0,600.0,2400.0,138,0,0,400,400,0,0
cooperative_limited,1:1,800,98,1,97,98,72,0.0,0,0.0,0.0,0,200,200,200,0,0,0,11850.0,0.0,11850.0,0.0,0.0,0,0,200,200,200,0,0,0,93016.0,61602.0,154618.0,58147.0,290.735,53,83,104866.0,61602.0,166468.0,400,0,400,400,400,400,400,0,0.2222222222222222,145.35,58140.0,0,262.165,104866.0,queue,5,1800.0,600.0,2400.0,123,0,0,400,400,0,0
ramp_fixed_4s,1:1,800,0,0,0,0,0,4.0,0,0.0,0.0,190,200,200,200,0,0,0,11749.0,0.0,11749.0,0.0,0.0,0,0,200,200,180,20,0,20,102065.0,74301.0,176366.0,57853.0,289.265,53,90,113814.0,74301.0,188115.0,400,0,400,400,400,400,380,20,0.2111111111111111,152.20263157894738,57837.0,20,290.88684210526316,110537.0,breakdown,1,1800.0,600.0,2400.0,132,20,0,400,400,0,0
ramp_fixed_4s,1:1,800,0,0,0,0,0,4.0,0,0.0,0.0,191,200,200,200,0,0,0,11750.0,0.0,11750.0,0.0,0.0,0,0,200,200,181,19,0,19,102978.0,73628.0,176606.0,58044.0,290.22,53,90,114728.0,73628.0,188356.0,400,0,400,400,400,400,381,19,0.21166666666666667,152.30971128608923,58030.0,19,293.18897637795277,111705.0,breakdown,2,1800.0,600.0,2400.0,127,19,0,400,400,0,0
ramp_fixed_4s,1:1,800,0,0,0,0,0,4.0,0,0.0,0.0,192,200,200,200,0,0,0,11665.0,0.0,11665.0,0.0,0.0,0,0,200,200,180,20,0,20,101588.0,76608.0,178196.0,58099.0,290.495,53,88,113253.0,76608.0,189861.0,400,0,400,400,400,400,380,20,0.2111111111111111,152.8684210526316,58090.0,20,289.65,110067.0,breakdown,3,1800.0,600.0,2400.0,141,20,0,400,400,0,0
