strategy,total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,strategy_value,paired_delta
cooperative_limited,800,1:1,1,total_time_spent_s,True,172937.0,168802.0,-4135.0
cooperative_limited,800,1:1,1,network_time_spent_s,True,105972.0,105459.0,-513.0
cooperative_limited,800,1:1,1,insertion_wait_time_s,True,66965.0,63343.0,-3622.0
cooperative_limited,800,1:1,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,1,total_time_spent_s,True,172937.0,188115.0,15178.0
ramp_fixed_4s,800,1:1,1,network_time_spent_s,True,105972.0,113814.0,7842.0
ramp_fixed_4s,800,1:1,1,insertion_wait_time_s,True,66965.0,74301.0,7336.0
ramp_fixed_4s,800,1:1,1,unfinished_vehicles,True,0.0,20.0,20.0
ramp_fixed_4s,800,1:1,1,throughput_veh_h,False,800.0,760.0,-40.0
ramp_on_demand_4s,800,1:1,1,total_time_spent_s,True,172937.0,172937.0,0.0
ramp_on_demand_4s,800,1:1,1,network_time_spent_s,True,105972.0,105972.0,0.0
ramp_on_demand_4s,800,1:1,1,insertion_wait_time_s,True,66965.0,66965.0,0.0
ramp_on_demand_4s,800,1:1,1,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:1,1,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:1,2,total_time_spent_s,True,163705.0,167010.0,3305.0
cooperative_limited,800,1:1,2,network_time_spent_s,True,104328.0,105615.0,1287.0
cooperative_limited,800,1:1,2,insertion_wait_time_s,True,59377.0,61395.0,2018.0
cooperative_limited,800,1:1,2,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,2,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,2,total_time_spent_s,True,163705.0,188356.0,24651.0
ramp_fixed_4s,800,1:1,2,network_time_spent_s,True,104328.0,114728.0,10400.0
ramp_fixed_4s,800,1:1,2,insertion_wait_time_s,True,59377.0,73628.0,14251.0
ramp_fixed_4s,800,1:1,2,unfinished_vehicles,True,0.0,19.0,19.0
ramp_fixed_4s,800,1:1,2,throughput_veh_h,False,800.0,762.0,-38.0
ramp_on_demand_4s,800,1:1,2,total_time_spent_s,True,163705.0,170573.0,6868.0
ramp_on_demand_4s,800,1:1,2,network_time_spent_s,True,104328.0,106397.0,2069.0
ramp_on_demand_4s,800,1:1,2,insertion_wait_time_s,True,59377.0,64176.0,4799.0
ramp_on_demand_4s,800,1:1,2,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:1,2,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:1,3,total_time_spent_s,True,160403.0,159374.0,-1029.0
cooperative_limited,800,1:1,3,network_time_spent_s,True,102745.0,102163.0,-582.0
cooperative_limited,800,1:1,3,insertion_wait_time_s,True,57658.0,57211.0,-447.0
cooperative_limited,800,1:1,3,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,3,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,3,total_time_spent_s,True,160403.0,189861.0,29458.0
ramp_fixed_4s,800,1:1,3,network_time_spent_s,True,102745.0,113253.0,10508.0
ramp_fixed_4s,800,1:1,3,insertion_wait_time_s,True,57658.0,76608.0,18950.0
ramp_fixed_4s,800,1:1,3,unfinished_vehicles,True,0.0,20.0,20.0
ramp_fixed_4s,800,1:1,3,throughput_veh_h,False,800.0,760.0,-40.0
ramp_on_demand_4s,800,1:1,3,total_time_spent_s,True,160403.0,167157.0,6754.0
ramp_on_demand_4s,800,1:1,3,network_time_spent_s,True,102745.0,103374.0,629.0
ramp_on_demand_4s,800,1:1,3,insertion_wait_time_s,True,57658.0,63783.0,6125.0
ramp_on_demand_4s,800,1:1,3,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:1,3,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:1,4,total_time_spent_s,True,169416.0,177924.0,8508.0
cooperative_limited,800,1:1,4,network_time_spent_s,True,105460.0,107317.0,1857.0
cooperative_limited,800,1:1,4,insertion_wait_time_s,True,63956.0,70607.0,6651.0
cooperative_limited,800,1:1,4,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,4,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,4,total_time_spent_s,True,169416.0,189017.0,19601.0
ramp_fixed_4s,800,1:1,4,network_time_spent_s,True,105460.0,115300.0,9840.0
ramp_fixed_4s,800,1:1,4,insertion_wait_time_s,True,63956.0,73717.0,9761.0
ramp_fixed_4s,800,1:1,4,unfinished_vehicles,True,0.0,24.0,24.0
ramp_fixed_4s,800,1:1,4,throughput_veh_h,False,800.0,752.0,-48.0
ramp_on_demand_4s,800,1:1,4,total_time_spent_s,True,169416.0,169416.0,0.0
ramp_on_demand_4s,800,1:1,4,network_time_spent_s,True,105460.0,105460.0,0.0
ramp_on_demand_4s,800,1:1,4,insertion_wait_time_s,True,63956.0,63956.0,0.0
ramp_on_demand_4s,800,1:1,4,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:1,4,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:1,5,total_time_spent_s,True,168145.0,166468.0,-1677.0
cooperative_limited,800,1:1,5,network_time_spent_s,True,105019.0,104866.0,-153.0
cooperative_limited,800,1:1,5,insertion_wait_time_s,True,63126.0,61602.0,-1524.0
cooperative_limited,800,1:1,5,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,5,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,5,total_time_spent_s,True,168145.0,191108.0,22963.0
ramp_fixed_4s,800,1:1,5,network_time_spent_s,True,105019.0,115673.0,10654.0
ramp_fixed_4s,800,1:1,5,insertion_wait_time_s,True,63126.0,75435.0,12309.0
ramp_fixed_4s,800,1:1,5,unfinished_vehicles,True,0.0,19.0,19.0
ramp_fixed_4s,800,1:1,5,throughput_veh_h,False,800.0,762.0,-38.0
ramp_on_demand_4s,800,1:1,5,total_time_spent_s,True,168145.0,168145.0,0.0
ramp_on_demand_4s,800,1:1,5,network_time_spent_s,True,105019.0,105019.0,0.0
ramp_on_demand_4s,800,1:1,5,insertion_wait_time_s,True,63126.0,63126.0,0.0
ramp_on_demand_4s,800,1:1,5,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:1,5,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:2,1,total_time_spent_s,True,184512.0,195409.0,10897.0
cooperative_limited,800,1:2,1,network_time_spent_s,True,104801.0,106604.0,1803.0
cooperative_limited,800,1:2,1,insertion_wait_time_s,True,79711.0,88805.0,9094.0
cooperative_limited,800,1:2,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,1,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,1,total_time_spent_s,True,184512.0,199470.0,14958.0
ramp_fixed_4s,800,1:2,1,network_time_spent_s,True,104801.0,111145.0,6344.0
ramp_fixed_4s,800,1:2,1,insertion_wait_time_s,True,79711.0,88325.0,8614.0
ramp_fixed_4s,800,1:2,1,unfinished_vehicles,True,0.0,27.0,27.0
ramp_fixed_4s,800,1:2,1,throughput_veh_h,False,802.0,748.0,-54.0
ramp_on_demand_4s,800,1:2,1,total_time_spent_s,True,184512.0,185312.0,800.0
ramp_on_demand_4s,800,1:2,1,network_time_spent_s,True,104801.0,104560.0,-241.0
ramp_on_demand_4s,800,1:2,1,insertion_wait_time_s,True,79711.0,80752.0,1041.0
ramp_on_demand_4s,800,1:2,1,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:2,1,throughput_veh_h,False,802.0,802.0,0.0
cooperative_limited,800,1:2,2,total_time_spent_s,True,206789.0,196879.0,-9910.0
cooperative_limited,800,1:2,2,network_time_spent_s,True,109611.0,108673.0,-938.0
cooperative_limited,800,1:2,2,insertion_wait_time_s,True,97178.0,88206.0,-8972.0
cooperative_limited,800,1:2,2,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,2,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,2,total_time_spent_s,True,206789.0,199887.0,-6902.0
ramp_fixed_4s,800,1:2,2,network_time_spent_s,True,109611.0,111780.0,2169.0
ramp_fixed_4s,800,1:2,2,insertion_wait_time_s,True,97178.0,88107.0,-9071.0
ramp_fixed_4s,800,1:2,2,unfinished_vehicles,True,0.0,31.0,31.0
ramp_fixed_4s,800,1:2,2,throughput_veh_h,False,802.0,740.0,-62.0
ramp_on_demand_4s,800,1:2,2,total_time_spent_s,True,206789.0,204170.0,-2619.0
ramp_on_demand_4s,800,1:2,2,network_time_spent_s,True,109611.0,109007.0,-604.0
ramp_on_demand_4s,800,1:2,2,insertion_wait_time_s,True,97178.0,95163.0,-2015.0
ramp_on_demand_4s,800,1:2,2,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:2,2,throughput_veh_h,False,802.0,802.0,0.0
cooperative_limited,800,1:2,3,total_time_spent_s,True,205910.0,197117.0,-8793.0
cooperative_limited,800,1:2,3,network_time_spent_s,True,108388.0,107113.0,-1275.0
cooperative_limited,800,1:2,3,insertion_wait_time_s,True,97522.0,90004.0,-7518.0
cooperative_limited,800,1:2,3,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,3,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,3,total_time_spent_s,True,205910.0,224257.0,18347.0
ramp_fixed_4s,800,1:2,3,network_time_spent_s,True,108388.0,114285.0,5897.0
ramp_fixed_4s,800,1:2,3,insertion_wait_time_s,True,97522.0,109972.0,12450.0
ramp_fixed_4s,800,1:2,3,unfinished_vehicles,True,0.0,48.0,48.0
ramp_fixed_4s,800,1:2,3,throughput_veh_h,False,802.0,706.0,-96.0
ramp_on_demand_4s,800,1:2,3,total_time_spent_s,True,205910.0,170989.0,-34921.0
ramp_on_demand_4s,800,1:2,3,network_time_spent_s,True,108388.0,100714.0,-7674.0
ramp_on_demand_4s,800,1:2,3,insertion_wait_time_s,True,97522.0,70275.0,-27247.0
ramp_on_demand_4s,800,1:2,3,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:2,3,throughput_veh_h,False,802.0,802.0,0.0
cooperative_limited,800,1:2,4,total_time_spent_s,True,198098.0,198572.0,474.0
cooperative_limited,800,1:2,4,network_time_spent_s,True,107472.0,107128.0,-344.0
cooperative_limited,800,1:2,4,insertion_wait_time_s,True,90626.0,91444.0,818.0
cooperative_limited,800,1:2,4,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,4,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,4,total_time_spent_s,True,198098.0,222986.0,24888.0
ramp_fixed_4s,800,1:2,4,network_time_spent_s,True,107472.0,114616.0,7144.0
ramp_fixed_4s,800,1:2,4,insertion_wait_time_s,True,90626.0,108370.0,17744.0
ramp_fixed_4s,800,1:2,4,unfinished_vehicles,True,0.0,44.0,44.0
ramp_fixed_4s,800,1:2,4,throughput_veh_h,False,802.0,714.0,-88.0
ramp_on_demand_4s,800,1:2,4,total_time_spent_s,True,198098.0,164025.0,-34073.0
ramp_on_demand_4s,800,1:2,4,network_time_spent_s,True,107472.0,97196.0,-10276.0
ramp_on_demand_4s,800,1:2,4,insertion_wait_time_s,True,90626.0,66829.0,-23797.0
ramp_on_demand_4s,800,1:2,4,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:2,4,throughput_veh_h,False,802.0,802.0,0.0
cooperative_limited,800,1:2,5,total_time_spent_s,True,190240.0,181346.0,-8894.0
cooperative_limited,800,1:2,5,network_time_spent_s,True,106392.0,104405.0,-1987.0
cooperative_limited,800,1:2,5,insertion_wait_time_s,True,83848.0,76941.0,-6907.0
cooperative_limited,800,1:2,5,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,5,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,5,total_time_spent_s,True,190240.0,179899.0,-10341.0
ramp_fixed_4s,800,1:2,5,network_time_spent_s,True,106392.0,105675.0,-717.0
ramp_fixed_4s,800,1:2,5,insertion_wait_time_s,True,83848.0,74224.0,-9624.0
ramp_fixed_4s,800,1:2,5,unfinished_vehicles,True,0.0,22.0,22.0
ramp_fixed_4s,800,1:2,5,throughput_veh_h,False,802.0,758.0,-44.0
ramp_on_demand_4s,800,1:2,5,total_time_spent_s,True,190240.0,197611.0,7371.0
ramp_on_demand_4s,800,1:2,5,network_time_spent_s,True,106392.0,107069.0,677.0
ramp_on_demand_4s,800,1:2,5,insertion_wait_time_s,True,83848.0,90542.0,6694.0
ramp_on_demand_4s,800,1:2,5,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:2,5,throughput_veh_h,False,802.0,802.0,0.0
cooperative_limited,800,1:3,1,total_time_spent_s,True,100346.0,179548.0,79202.0
cooperative_limited,800,1:3,1,network_time_spent_s,True,82632.0,101768.0,19136.0
cooperative_limited,800,1:3,1,insertion_wait_time_s,True,17714.0,77780.0,60066.0
cooperative_limited,800,1:3,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:3,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:3,1,total_time_spent_s,True,100346.0,88832.0,-11514.0
ramp_fixed_4s,800,1:3,1,network_time_spent_s,True,82632.0,78311.0,-4321.0
ramp_fixed_4s,800,1:3,1,insertion_wait_time_s,True,17714.0,10521.0,-7193.0
ramp_fixed_4s,800,1:3,1,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:3,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:3,1,total_time_spent_s,True,100346.0,107858.0,7512.0
ramp_on_demand_4s,800,1:3,1,network_time_spent_s,True,82632.0,86377.0,3745.0
ramp_on_demand_4s,800,1:3,1,insertion_wait_time_s,True,17714.0,21481.0,3767.0
ramp_on_demand_4s,800,1:3,1,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:3,1,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:3,2,total_time_spent_s,True,114874.0,169422.0,54548.0
cooperative_limited,800,1:3,2,network_time_spent_s,True,85329.0,100135.0,14806.0
cooperative_limited,800,1:3,2,insertion_wait_time_s,True,29545.0,69287.0,39742.0
cooperative_limited,800,1:3,2,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:3,2,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:3,2,total_time_spent_s,True,114874.0,128569.0,13695.0
ramp_fixed_4s,800,1:3,2,network_time_spent_s,True,85329.0,91181.0,5852.0
ramp_fixed_4s,800,1:3,2,insertion_wait_time_s,True,29545.0,37388.0,7843.0
ramp_fixed_4s,800,1:3,2,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:3,2,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:3,2,total_time_spent_s,True,114874.0,107335.0,-7539.0
ramp_on_demand_4s,800,1:3,2,network_time_spent_s,True,85329.0,83866.0,-1463.0
ramp_on_demand_4s,800,1:3,2,insertion_wait_time_s,True,29545.0,23469.0,-6076.0
ramp_on_demand_4s,800,1:3,2,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:3,2,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:3,3,total_time_spent_s,True,115075.0,174893.0,59818.0
cooperative_limited,800,1:3,3,network_time_spent_s,True,88464.0,101559.0,13095.0
cooperative_limited,800,1:3,3,insertion_wait_time_s,True,26611.0,73334.0,46723.0
cooperative_limited,800,1:3,3,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:3,3,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:3,3,total_time_spent_s,True,115075.0,120605.0,5530.0
ramp_fixed_4s,800,1:3,3,network_time_spent_s,True,88464.0,92145.0,3681.0
ramp_fixed_4s,800,1:3,3,insertion_wait_time_s,True,26611.0,28460.0,1849.0
ramp_fixed_4s,800,1:3,3,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:3,3,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:3,3,total_time_spent_s,True,115075.0,116652.0,1577.0
ramp_on_demand_4s,800,1:3,3,network_time_spent_s,True,88464.0,88478.0,14.0
ramp_on_demand_4s,800,1:3,3,insertion_wait_time_s,True,26611.0,28174.0,1563.0
ramp_on_demand_4s,800,1:3,3,unfinished_vehicles,True,0.0,0.0,0.0
ramp_on_demand_4s,800,1:3,3,throughput_veh_h,False,800.0,800.0,0.0
cooperative_limited,800,1:3,4,total_time_spent_s,True,120820.0,192755.0,71935.0
cooperative_limited,800,1:3,4,network_time_spent_s,True,91693.0,103520.0,11827.0
cooperative_limited,800,1:3,4,insertion_wait_time_s,True,29127.0,89235.0,60108.0
cooperative_limited,800,1:3,4,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:3,4,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:3,4,total_time_spent_s,True,120820.0,132134.0,11314.0
ramp_fixed_4s,800,1:3,4,network_time_spent_s,True,91693.0,97313.0,5620.0
ramp_fixed_4s,800,1:3,4,insertion_wait_time_s,True,29127.0,34821.0,5694.0
ramp_fixed_4s,800,1:3,4,unfinished_vehicles,True,0.0,0.0,0.0
ramp_fixed_4s,800,1:3,4,throughput_veh_h,False,800.0,800.0,0.0
ramp_on_demand_4s,800,1:3,4,total_time_spent_s,True,120820.0,121050.0,230.0
ramp_on_demand_4s,800,1:3,4,network_time_spent_s,True,91693.0,91193.0,-500.0
ramp_on_demand_4s,800,1:3,4,insertion_wait_time_s,True,29127.0,29857.0,730.0
