strategy,total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,strategy_value,paired_delta
cooperative_limited,800,1:1,1,total_time_spent_s,True,172937.0,168802.0,-4135.0
cooperative_limited,800,1:1,1,network_time_spent_s,True,105972.0,105459.0,-513.0
cooperative_limited,800,1:1,1,insertion_wait_time_s,True,66965.0,63343.0,-3622.0
cooperative_limited,800,1:1,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,1,total_time_spent_s,True,172937.0,188115.0,15178.0
ramp_fixed_4s,800,1:1,1,network_time_spent_s,True,105972.0,113814.0,7842.0
ramp_fixed_4s,800,1:1,1,insertion_wait_time_s,True,66965.0,74301.0,7336.0
ramp_fixed_4s,800,1:1,1,unfinished_vehicles,True,0.0,20.0,20.0
ramp_fixed_4s,800,1:1,1,throughput_veh_h,False,800.0,760.0,-40.0
ramp_fixed_6s,800,1:1,1,total_time_spent_s,True,172937.0,195210.0,22273.0
ramp_fixed_6s,800,1:1,1,network_time_spent_s,True,105972.0,115041.0,9069.0
ramp_fixed_6s,800,1:1,1,insertion_wait_time_s,True,66965.0,80169.0,13204.0
ramp_fixed_6s,800,1:1,1,unfinished_vehicles,True,0.0,44.0,44.0
ramp_fixed_6s,800,1:1,1,throughput_veh_h,False,800.0,712.0,-88.0
ramp_fixed_8s,800,1:1,1,total_time_spent_s,True,172937.0,193418.0,20481.0
ramp_fixed_8s,800,1:1,1,network_time_spent_s,True,105972.0,114672.0,8700.0
ramp_fixed_8s,800,1:1,1,insertion_wait_time_s,True,66965.0,78746.0,11781.0
ramp_fixed_8s,800,1:1,1,unfinished_vehicles,True,0.0,59.0,59.0
ramp_fixed_8s,800,1:1,1,throughput_veh_h,False,800.0,682.0,-118.0
cooperative_limited,800,1:1,2,total_time_spent_s,True,163705.0,167010.0,3305.0
cooperative_limited,800,1:1,2,network_time_spent_s,True,104328.0,105615.0,1287.0
cooperative_limited,800,1:1,2,insertion_wait_time_s,True,59377.0,61395.0,2018.0
cooperative_limited,800,1:1,2,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,2,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,2,total_time_spent_s,True,163705.0,188356.0,24651.0
ramp_fixed_4s,800,1:1,2,network_time_spent_s,True,104328.0,114728.0,10400.0
ramp_fixed_4s,800,1:1,2,insertion_wait_time_s,True,59377.0,73628.0,14251.0
ramp_fixed_4s,800,1:1,2,unfinished_vehicles,True,0.0,19.0,19.0
ramp_fixed_4s,800,1:1,2,throughput_veh_h,False,800.0,762.0,-38.0
ramp_fixed_6s,800,1:1,2,total_time_spent_s,True,163705.0,193753.0,30048.0
ramp_fixed_6s,800,1:1,2,network_time_spent_s,True,104328.0,115955.0,11627.0
ramp_fixed_6s,800,1:1,2,insertion_wait_time_s,True,59377.0,77798.0,18421.0
ramp_fixed_6s,800,1:1,2,unfinished_vehicles,True,0.0,41.0,41.0
ramp_fixed_6s,800,1:1,2,throughput_veh_h,False,800.0,718.0,-82.0
ramp_fixed_8s,800,1:1,2,total_time_spent_s,True,163705.0,199473.0,35768.0
ramp_fixed_8s,800,1:1,2,network_time_spent_s,True,104328.0,115879.0,11551.0
ramp_fixed_8s,800,1:1,2,insertion_wait_time_s,True,59377.0,83594.0,24217.0
ramp_fixed_8s,800,1:1,2,unfinished_vehicles,True,0.0,64.0,64.0
ramp_fixed_8s,800,1:1,2,throughput_veh_h,False,800.0,672.0,-128.0
cooperative_limited,800,1:1,3,total_time_spent_s,True,160403.0,159374.0,-1029.0
cooperative_limited,800,1:1,3,network_time_spent_s,True,102745.0,102163.0,-582.0
cooperative_limited,800,1:1,3,insertion_wait_time_s,True,57658.0,57211.0,-447.0
cooperative_limited,800,1:1,3,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,3,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,3,total_time_spent_s,True,160403.0,189861.0,29458.0
ramp_fixed_4s,800,1:1,3,network_time_spent_s,True,102745.0,113253.0,10508.0
ramp_fixed_4s,800,1:1,3,insertion_wait_time_s,True,57658.0,76608.0,18950.0
ramp_fixed_4s,800,1:1,3,unfinished_vehicles,True,0.0,20.0,20.0
ramp_fixed_4s,800,1:1,3,throughput_veh_h,False,800.0,760.0,-40.0
ramp_fixed_6s,800,1:1,3,total_time_spent_s,True,160403.0,197562.0,37159.0
ramp_fixed_6s,800,1:1,3,network_time_spent_s,True,102745.0,114437.0,11692.0
ramp_fixed_6s,800,1:1,3,insertion_wait_time_s,True,57658.0,83125.0,25467.0
ramp_fixed_6s,800,1:1,3,unfinished_vehicles,True,0.0,45.0,45.0
ramp_fixed_6s,800,1:1,3,throughput_veh_h,False,800.0,710.0,-90.0
ramp_fixed_8s,800,1:1,3,total_time_spent_s,True,160403.0,200443.0,40040.0
ramp_fixed_8s,800,1:1,3,network_time_spent_s,True,102745.0,114252.0,11507.0
ramp_fixed_8s,800,1:1,3,insertion_wait_time_s,True,57658.0,86191.0,28533.0
ramp_fixed_8s,800,1:1,3,unfinished_vehicles,True,0.0,64.0,64.0
ramp_fixed_8s,800,1:1,3,throughput_veh_h,False,800.0,672.0,-128.0
cooperative_limited,800,1:1,4,total_time_spent_s,True,169416.0,177924.0,8508.0
cooperative_limited,800,1:1,4,network_time_spent_s,True,105460.0,107317.0,1857.0
cooperative_limited,800,1:1,4,insertion_wait_time_s,True,63956.0,70607.0,6651.0
cooperative_limited,800,1:1,4,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,4,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,4,total_time_spent_s,True,169416.0,189017.0,19601.0
ramp_fixed_4s,800,1:1,4,network_time_spent_s,True,105460.0,115300.0,9840.0
ramp_fixed_4s,800,1:1,4,insertion_wait_time_s,True,63956.0,73717.0,9761.0
ramp_fixed_4s,800,1:1,4,unfinished_vehicles,True,0.0,24.0,24.0
ramp_fixed_4s,800,1:1,4,throughput_veh_h,False,800.0,752.0,-48.0
ramp_fixed_6s,800,1:1,4,total_time_spent_s,True,169416.0,193722.0,24306.0
ramp_fixed_6s,800,1:1,4,network_time_spent_s,True,105460.0,116179.0,10719.0
ramp_fixed_6s,800,1:1,4,insertion_wait_time_s,True,63956.0,77543.0,13587.0
ramp_fixed_6s,800,1:1,4,unfinished_vehicles,True,0.0,42.0,42.0
ramp_fixed_6s,800,1:1,4,throughput_veh_h,False,800.0,716.0,-84.0
ramp_fixed_8s,800,1:1,4,total_time_spent_s,True,169416.0,199305.0,29889.0
ramp_fixed_8s,800,1:1,4,network_time_spent_s,True,105460.0,116094.0,10634.0
ramp_fixed_8s,800,1:1,4,insertion_wait_time_s,True,63956.0,83211.0,19255.0
ramp_fixed_8s,800,1:1,4,unfinished_vehicles,True,0.0,63.0,63.0
ramp_fixed_8s,800,1:1,4,throughput_veh_h,False,800.0,674.0,-126.0
cooperative_limited,800,1:1,5,total_time_spent_s,True,168145.0,166468.0,-1677.0
cooperative_limited,800,1:1,5,network_time_spent_s,True,105019.0,104866.0,-153.0
cooperative_limited,800,1:1,5,insertion_wait_time_s,True,63126.0,61602.0,-1524.0
cooperative_limited,800,1:1,5,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:1,5,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:1,5,total_time_spent_s,True,168145.0,191108.0,22963.0
ramp_fixed_4s,800,1:1,5,network_time_spent_s,True,105019.0,115673.0,10654.0
ramp_fixed_4s,800,1:1,5,insertion_wait_time_s,True,63126.0,75435.0,12309.0
ramp_fixed_4s,800,1:1,5,unfinished_vehicles,True,0.0,19.0,19.0
ramp_fixed_4s,800,1:1,5,throughput_veh_h,False,800.0,762.0,-38.0
ramp_fixed_6s,800,1:1,5,total_time_spent_s,True,168145.0,199943.0,31798.0
ramp_fixed_6s,800,1:1,5,network_time_spent_s,True,105019.0,117182.0,12163.0
ramp_fixed_6s,800,1:1,5,insertion_wait_time_s,True,63126.0,82761.0,19635.0
ramp_fixed_6s,800,1:1,5,unfinished_vehicles,True,0.0,43.0,43.0
ramp_fixed_6s,800,1:1,5,throughput_veh_h,False,800.0,714.0,-86.0
ramp_fixed_8s,800,1:1,5,total_time_spent_s,True,168145.0,205637.0,37492.0
ramp_fixed_8s,800,1:1,5,network_time_spent_s,True,105019.0,117090.0,12071.0
ramp_fixed_8s,800,1:1,5,insertion_wait_time_s,True,63126.0,88547.0,25421.0
ramp_fixed_8s,800,1:1,5,unfinished_vehicles,True,0.0,65.0,65.0
ramp_fixed_8s,800,1:1,5,throughput_veh_h,False,800.0,670.0,-130.0
cooperative_limited,800,1:2,1,total_time_spent_s,True,184512.0,195409.0,10897.0
cooperative_limited,800,1:2,1,network_time_spent_s,True,104801.0,106604.0,1803.0
cooperative_limited,800,1:2,1,insertion_wait_time_s,True,79711.0,88805.0,9094.0
cooperative_limited,800,1:2,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,1,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,1,total_time_spent_s,True,184512.0,199470.0,14958.0
ramp_fixed_4s,800,1:2,1,network_time_spent_s,True,104801.0,111145.0,6344.0
ramp_fixed_4s,800,1:2,1,insertion_wait_time_s,True,79711.0,88325.0,8614.0
ramp_fixed_4s,800,1:2,1,unfinished_vehicles,True,0.0,27.0,27.0
ramp_fixed_4s,800,1:2,1,throughput_veh_h,False,802.0,748.0,-54.0
ramp_fixed_6s,800,1:2,1,total_time_spent_s,True,184512.0,209142.0,24630.0
ramp_fixed_6s,800,1:2,1,network_time_spent_s,True,104801.0,111780.0,6979.0
ramp_fixed_6s,800,1:2,1,insertion_wait_time_s,True,79711.0,97362.0,17651.0
ramp_fixed_6s,800,1:2,1,unfinished_vehicles,True,0.0,52.0,52.0
ramp_fixed_6s,800,1:2,1,throughput_veh_h,False,802.0,698.0,-104.0
ramp_fixed_8s,800,1:2,1,total_time_spent_s,True,184512.0,237530.0,53018.0
ramp_fixed_8s,800,1:2,1,network_time_spent_s,True,104801.0,114088.0,9287.0
ramp_fixed_8s,800,1:2,1,insertion_wait_time_s,True,79711.0,123442.0,43731.0
ramp_fixed_8s,800,1:2,1,unfinished_vehicles,True,0.0,86.0,86.0
ramp_fixed_8s,800,1:2,1,throughput_veh_h,False,802.0,630.0,-172.0
cooperative_limited,800,1:2,2,total_time_spent_s,True,206789.0,196879.0,-9910.0
cooperative_limited,800,1:2,2,network_time_spent_s,True,109611.0,108673.0,-938.0
cooperative_limited,800,1:2,2,insertion_wait_time_s,True,97178.0,88206.0,-8972.0
cooperative_limited,800,1:2,2,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,2,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,2,total_time_spent_s,True,206789.0,199887.0,-6902.0
ramp_fixed_4s,800,1:2,2,network_time_spent_s,True,109611.0,111780.0,2169.0
ramp_fixed_4s,800,1:2,2,insertion_wait_time_s,True,97178.0,88107.0,-9071.0
ramp_fixed_4s,800,1:2,2,unfinished_vehicles,True,0.0,31.0,31.0
ramp_fixed_4s,800,1:2,2,throughput_veh_h,False,802.0,740.0,-62.0
ramp_fixed_6s,800,1:2,2,total_time_spent_s,True,206789.0,208912.0,2123.0
ramp_fixed_6s,800,1:2,2,network_time_spent_s,True,109611.0,112112.0,2501.0
ramp_fixed_6s,800,1:2,2,insertion_wait_time_s,True,97178.0,96800.0,-378.0
ramp_fixed_6s,800,1:2,2,unfinished_vehicles,True,0.0,54.0,54.0
ramp_fixed_6s,800,1:2,2,throughput_veh_h,False,802.0,694.0,-108.0
ramp_fixed_8s,800,1:2,2,total_time_spent_s,True,206789.0,218962.0,12173.0
ramp_fixed_8s,800,1:2,2,network_time_spent_s,True,109611.0,112730.0,3119.0
ramp_fixed_8s,800,1:2,2,insertion_wait_time_s,True,97178.0,106232.0,9054.0
ramp_fixed_8s,800,1:2,2,unfinished_vehicles,True,0.0,79.0,79.0
ramp_fixed_8s,800,1:2,2,throughput_veh_h,False,802.0,644.0,-158.0
cooperative_limited,800,1:2,3,total_time_spent_s,True,205910.0,197117.0,-8793.0
cooperative_limited,800,1:2,3,network_time_spent_s,True,108388.0,107113.0,-1275.0
cooperative_limited,800,1:2,3,insertion_wait_time_s,True,97522.0,90004.0,-7518.0
cooperative_limited,800,1:2,3,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,3,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,3,total_time_spent_s,True,205910.0,224257.0,18347.0
ramp_fixed_4s,800,1:2,3,network_time_spent_s,True,108388.0,114285.0,5897.0
ramp_fixed_4s,800,1:2,3,insertion_wait_time_s,True,97522.0,109972.0,12450.0
ramp_fixed_4s,800,1:2,3,unfinished_vehicles,True,0.0,48.0,48.0
ramp_fixed_4s,800,1:2,3,throughput_veh_h,False,802.0,706.0,-96.0
ramp_fixed_6s,800,1:2,3,total_time_spent_s,True,205910.0,237831.0,31921.0
ramp_fixed_6s,800,1:2,3,network_time_spent_s,True,108388.0,113977.0,5589.0
ramp_fixed_6s,800,1:2,3,insertion_wait_time_s,True,97522.0,123854.0,26332.0
ramp_fixed_6s,800,1:2,3,unfinished_vehicles,True,0.0,72.0,72.0
ramp_fixed_6s,800,1:2,3,throughput_veh_h,False,802.0,658.0,-144.0
ramp_fixed_8s,800,1:2,3,total_time_spent_s,True,205910.0,224952.0,19042.0
ramp_fixed_8s,800,1:2,3,network_time_spent_s,True,108388.0,113956.0,5568.0
ramp_fixed_8s,800,1:2,3,insertion_wait_time_s,True,97522.0,110996.0,13474.0
ramp_fixed_8s,800,1:2,3,unfinished_vehicles,True,0.0,78.0,78.0
ramp_fixed_8s,800,1:2,3,throughput_veh_h,False,802.0,646.0,-156.0
cooperative_limited,800,1:2,4,total_time_spent_s,True,198098.0,198572.0,474.0
cooperative_limited,800,1:2,4,network_time_spent_s,True,107472.0,107128.0,-344.0
cooperative_limited,800,1:2,4,insertion_wait_time_s,True,90626.0,91444.0,818.0
cooperative_limited,800,1:2,4,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,4,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,4,total_time_spent_s,True,198098.0,222986.0,24888.0
ramp_fixed_4s,800,1:2,4,network_time_spent_s,True,107472.0,114616.0,7144.0
ramp_fixed_4s,800,1:2,4,insertion_wait_time_s,True,90626.0,108370.0,17744.0
ramp_fixed_4s,800,1:2,4,unfinished_vehicles,True,0.0,44.0,44.0
ramp_fixed_4s,800,1:2,4,throughput_veh_h,False,802.0,714.0,-88.0
ramp_fixed_6s,800,1:2,4,total_time_spent_s,True,198098.0,223323.0,25225.0
ramp_fixed_6s,800,1:2,4,network_time_spent_s,True,107472.0,114205.0,6733.0
ramp_fixed_6s,800,1:2,4,insertion_wait_time_s,True,90626.0,109118.0,18492.0
ramp_fixed_6s,800,1:2,4,unfinished_vehicles,True,0.0,61.0,61.0
ramp_fixed_6s,800,1:2,4,throughput_veh_h,False,802.0,680.0,-122.0
ramp_fixed_8s,800,1:2,4,total_time_spent_s,True,198098.0,217812.0,19714.0
ramp_fixed_8s,800,1:2,4,network_time_spent_s,True,107472.0,111002.0,3530.0
ramp_fixed_8s,800,1:2,4,insertion_wait_time_s,True,90626.0,106810.0,16184.0
ramp_fixed_8s,800,1:2,4,unfinished_vehicles,True,0.0,80.0,80.0
ramp_fixed_8s,800,1:2,4,throughput_veh_h,False,802.0,642.0,-160.0
cooperative_limited,800,1:2,5,total_time_spent_s,True,190240.0,181346.0,-8894.0
cooperative_limited,800,1:2,5,network_time_spent_s,True,106392.0,104405.0,-1987.0
cooperative_limited,800,1:2,5,insertion_wait_time_s,True,83848.0,76941.0,-6907.0
cooperative_limited,800,1:2,5,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:2,5,throughput_veh_h,False,802.0,802.0,0.0
ramp_fixed_4s,800,1:2,5,total_time_spent_s,True,190240.0,179899.0,-10341.0
ramp_fixed_4s,800,1:2,5,network_time_spent_s,True,106392.0,105675.0,-717.0
ramp_fixed_4s,800,1:2,5,insertion_wait_time_s,True,83848.0,74224.0,-9624.0
ramp_fixed_4s,800,1:2,5,unfinished_vehicles,True,0.0,22.0,22.0
ramp_fixed_4s,800,1:2,5,throughput_veh_h,False,802.0,758.0,-44.0
ramp_fixed_6s,800,1:2,5,total_time_spent_s,True,190240.0,182299.0,-7941.0
ramp_fixed_6s,800,1:2,5,network_time_spent_s,True,106392.0,106380.0,-12.0
ramp_fixed_6s,800,1:2,5,insertion_wait_time_s,True,83848.0,75919.0,-7929.0
ramp_fixed_6s,800,1:2,5,unfinished_vehicles,True,0.0,40.0,40.0
ramp_fixed_6s,800,1:2,5,throughput_veh_h,False,802.0,722.0,-80.0
ramp_fixed_8s,800,1:2,5,total_time_spent_s,True,190240.0,216817.0,26577.0
ramp_fixed_8s,800,1:2,5,network_time_spent_s,True,106392.0,112425.0,6033.0
ramp_fixed_8s,800,1:2,5,insertion_wait_time_s,True,83848.0,104392.0,20544.0
ramp_fixed_8s,800,1:2,5,unfinished_vehicles,True,0.0,74.0,74.0
ramp_fixed_8s,800,1:2,5,throughput_veh_h,False,802.0,654.0,-148.0
cooperative_limited,800,1:3,1,total_time_spent_s,True,100346.0,179548.0,79202.0
cooperative_limited,800,1:3,1,network_time_spent_s,True,82632.0,101768.0,19136.0
cooperative_limited,800,1:3,1,insertion_wait_time_s,True,17714.0,77780.0,60066.0
cooperative_limited,800,1:3,1,unfinished_vehicles,True,0.0,0.0,0.0
cooperative_limited,800,1:3,1,throughput_veh_h,False,800.0,800.0,0.0
ramp_fixed_4s,800,1:3,1,total_time_spent_s,True,100346.0,88832.0,-11514.0
ramp_fixed_4s,800,1:3,1,network_time_spent_s,True,82632.0,78311.0,-4321.0
ramp_fixed_4s,800,1:3,1,insertion_wait_time_s,True,17714.0,10521.0,-7193.0
